tax_id	CRR125950_0.5	CRR125950_0.90	CRR125950_0.95	CRR125950_0.99	CRR125950_0	CRR125950_1
1349819	5	3	4	6	4	7
492670	67	0	0	0	13	0
1308	43	5	3	2	4	2
40559	5	0	0	0	19	0
2704463	4	0	0	0	4	0
2099	2	1	2	2	4	3
27289	5	22	30	50	3	63
244734	89	19	9	9	18	9
2049935	4978	13354	10634	5841	406	4647
76775	412	80	60	48	452	45
2133944	1	1	1	1	156	1
43768	55	0	0	0	66	0
588726	4	0	0	0	2	0
549	34	18	0	0	8	0
817	4	6	5	3	1	3
1314	37	12	10	8	42	8
227086	1	2	3	5	2	6
317577	1	0	0	0	1	0
2702	3	0	0	0	2	0
1491	1	7	9	13	9	16
1755811	3	0	0	0	2	0
1496	4	10	8	5	5	4
116090	2	0	0	0	2	0
109266	3	1	1	1	1	1
2057741	11	0	0	0	203	0
180282	108	0	0	0	10	0
29459	1595	0	0	0	3958	0
641107	1	2	2	2	1	2
147802	94	0	0	0	14	0
2652177	9	5	4	2	2	2
28132	124	0	0	0	174	0
28131	2	0	0	0	71	0
91844	2	0	0	0	1	0
5850	1	2	3	5	5	6
28135	3	0	0	0	43	0
1914525	773	0	0	0	41	0
1660	145	28	11	0	100	0
712710	19	0	0	0	41	0
1921565	4	0	0	0	1	0
2033032	2	0	0	0	1	0
1126	1	0	0	0	55	0
94132	2	3	3	2	1	2
148305	1	0	0	0	2	0
1686310	2	2	1	1	1	1
652716	6	4	4	4	44	4
5855	1	0	0	0	149	0
117157	1	0	0	0	11	0
2169539	2	3	2	2	1	1
149715	2	6	6	7	1	8
1005962	3	0	0	0	2	0
709797	6	0	0	0	1	0
1019	103	0	0	0	243	0
663364	2	3	3	1	1	1
1017	13	0	0	0	58	0
529	18517	3141	1702	1338	12378	1406
2184519	62	32	24	25	251	29
55211	16	0	0	0	1	0
511435	1	0	0	0	3	0
76123	16	6	5	4	57	4
43675	173	15	10	6	228	7
11216	3	0	0	0	16	0
748247	6	4	4	2	1	2
5811	54	226	314	512	84	648
2100	5	0	0	0	1	0
2069255	4	9	7	4	1	3
1778540	15	0	0	0	1	0
1758194	157	0	0	0	3	0
29382	14	38	37	37	1	42
40324	144	66	53	0	110	0
83559	13	0	0	0	1	0
129338	4	9	7	4	1	3
223967	3	0	0	0	3	0
171695	1	1	1	1	1	1
80866	232	34	23	17	73	17
47671	345	0	0	0	517	0
482564	8	1	1	1	6	1
29498	9	19	15	9	2	7
1197460	12	0	0	0	192	0
5665	2	0	0	0	3	0
5664	1	1	1	1	2	1
253	51	19	9	7	11	7
174	2	0	0	0	1	0
856	16	8	1	1	3	1
484	103	0	0	0	116	0
178339	376	0	0	0	195	0
1428	210	373	356	347	49	384
2493639	1	1	1	1	3	1
61624	2	0	0	0	1	0
114186	2	0	0	0	30	0
739	19	0	0	0	13	0
562	885	1430	1509	1931	2413	2302
463040	46	0	0	0	1	0
2653200	3	2	2	1	1	1
11665	8	2	1	1	8	1
726	9	0	0	0	29	0
85698	32	0	0	0	8	0
1492737	32	2	2	1	1	1
5518	20	0	0	0	14	0
96344	12	0	0	0	1	0
1047171	25	0	0	0	127	0
1747	1982	727	533	338	1709	318
729	199	0	0	0	84	0
59748	4	5	6	7	5	7
34062	353	50	19	14	101	13
545619	12	3	2	2	1	2
1173027	3	0	0	0	1	0
1969841	227	207	205	204	243	204
2545799	16	0	0	0	29	0
288000	6	3	2	2	8	2
39777	160	96	0	0	59	0
1402861	3	0	0	0	3	0
172042	5	0	0	0	5	0
1528099	25	1	1	1	306	1
9	22	17	18	20	70	22
445710	1	2	1	1	2	1
837	125	96	69	58	207	56
930166	3	2	1	1	3	1
44689	1	0	0	0	11	0
262209	9	3	3	1	1	2
1274	18	0	0	0	1	0
366522	2	0	0	0	1	0
488	859	0	0	0	271	0
673	2	0	0	0	1	0
480	2	0	0	0	6	0
2120	1	0	0	0	5	0
1280	30	0	0	0	162	0
1282	23	51	0	0	16	0
1648923	5	12	10	5	1	4
1286180	3	0	0	0	1	0
85471	1	0	0	0	3	0
470	2181	5161	4079	2997	29	2921
1977865	1	1	1	1	1	1
54571	11	7	5	4	5	5
28200	4	5	2	1	5	1
2661922	0	0	0	0	3	0
65093	0	0	0	0	2	0
2697019	0	0	0	0	1	0
477976	0	0	0	0	1	0
291112	0	0	0	0	1	0
2004644	0	0	0	0	1	0
1813019	0	0	0	0	1	0
411153	0	0	0	0	1	0
131568	0	0	0	0	1	0
2170745	0	0	0	0	1	0
1792307	0	0	0	0	1	0
120	0	0	0	0	27	0
216778	0	0	0	0	1	0
48296	0	0	0	0	1	0
1922247	0	0	0	0	2	0
52227	0	0	0	0	32	0
5821	0	0	0	0	1	0
1615674	0	0	0	0	1	0
354356	0	0	0	0	1	0
5827	0	0	0	0	3	0
164516	0	0	0	0	1	0
2557994	0	0	0	0	1	0
432096	0	0	0	0	1	0
248315	0	0	0	0	8	0
332163	0	0	0	0	1	0
2591633	0	0	0	0	1	0
1716143	0	0	0	0	1	0
347	0	0	0	0	1	0
2296	0	0	0	0	2	0
2711156	0	0	0	0	1	0
33035	0	0	0	0	1	0
2067960	0	0	0	0	1	0
28108	0	0	0	0	3	0
279826	0	0	0	0	1	0
1327635	0	0	0	0	2	0
393921	0	0	0	0	1	0
2850	0	0	0	0	1	0
1190415	0	0	0	0	1	0
2184575	0	0	0	0	7	0
1148157	0	0	0	0	1	0
2545455	0	0	0	0	1	0
1490	0	0	0	0	3	0
1397	0	0	0	0	1	0
1492	0	0	0	0	4	0
2069432	0	0	0	0	1	0
1536769	0	0	0	0	2	0
188932	0	0	0	0	1	0
1497	0	0	0	0	2	0
1498	0	0	0	0	3	0
1264	0	0	0	0	1	0
1812480	0	0	0	0	4	0
2898	0	0	0	0	5	0
2488665	0	0	0	0	1	0
2663022	0	0	0	0	1	0
39485	0	0	0	0	9	0
1063	0	0	0	0	1	0
669041	0	0	0	0	1	0
2081703	0	0	0	0	1	0
1392	0	0	0	0	14	0
1250539	0	0	0	0	152	0
233181	0	0	0	0	1	0
551989	0	0	0	0	1	0
1453352	0	0	0	0	1	0
1390	0	0	0	0	2	0
5858	0	0	0	0	5	0
329854	0	0	0	0	3	0
746691	0	0	0	0	1	0
1085	0	0	0	0	1	0
199	0	0	0	0	12	0
198	0	0	0	0	2	0
2487118	0	0	0	0	2	0
195	0	0	0	0	1	0
1265445	0	0	0	0	14	0
196	0	0	0	0	1	0
2259595	0	0	0	0	1	0
274	0	0	0	0	3	0
43305	0	0	0	0	1	0
33952	0	0	0	0	1	0
376174	0	0	0	0	1	0
2507538	0	0	0	0	1	0
33959	0	0	0	0	5	0
421767	0	0	0	0	2	0
656519	0	0	0	0	1	0
345199	0	0	0	0	3	0
298596	0	0	0	0	1	0
1137095	0	0	0	0	2	0
186490	0	0	0	0	1	0
28038	0	0	0	0	1	0
42422	0	0	0	0	9	0
2614639	0	0	0	0	3	0
1306519	0	0	0	0	1	0
83656	0	0	0	0	1	0
487316	0	0	0	0	1	0
1391654	0	0	0	0	1	0
1670800	0	0	0	0	1	0
1714860	0	0	0	0	1	0
863372	0	0	0	0	1	0
1921510	0	0	0	0	1251	0
1010	0	0	0	0	1	0
1405	0	0	0	0	2	0
640511	0	0	0	0	1	0
52133	0	0	0	0	16	0
796027	0	0	0	0	2	0
2202148	0	0	0	0	2	0
1334	0	0	0	0	136	0
1871034	0	0	0	0	1	0
1238	0	0	0	0	1	0
2249356	0	0	0	0	1	0
1562970	0	0	0	0	44	0
616991	0	0	0	0	1	0
218208	0	0	0	0	1	0
5825	0	0	0	0	3	0
166935	0	0	0	0	1	0
42374	0	0	0	0	16	0
1499686	0	0	0	0	1	0
2045	0	0	0	0	4	0
86665	0	0	0	0	1	0
296591	0	0	0	0	1	0
1511	0	0	0	0	3	0
34020	0	0	0	0	1	0
1510	0	0	0	0	2	0
34021	0	0	0	0	1	0
4959	0	0	0	0	2	0
1245	0	0	0	0	1	0
1244	0	0	0	0	1	0
1827580	0	0	0	0	1	0
2497456	0	0	0	0	1	0
79263	0	0	0	0	1	0
1628392	0	0	0	0	1	0
1080223	0	0	0	0	1	0
1538	0	0	0	0	1	0
1578925	0	0	0	0	1	0
2017483	0	0	0	0	1	0
2058137	0	0	0	0	1	0
