domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_num CRR125950_0.90.bracken_num CRR125950_0.95.bracken_num CRR125950_0.99.bracken_num CRR125950_0.bracken_num CRR125950_1.bracken_num 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Aurantimonadaceae Aureimonas Aureimonas sp. AU20 	1349819 5 3 4 6 4 7 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus velezensis 492670 	S 0.00182 0.00000 0.00000 0.00000 0.00031 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus Streptococcus thermophilus 1308 	S 0.00117 0.00020 0.00015 0.00014 0.00009 0.00015 
Eukaryota Ascomycota Leotiomycetes Helotiales Sclerotiniaceae Botrytis Botrytis cinerea 40559 	S 0.00014 0.00000 0.00000 0.00000 0.00045 0.00000 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus sp. 14171R-81 	2704463 4 0 0 0 4 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma hyopneumoniae 2099 	S 0.00005 0.00004 0.00010 0.00014 0.00009 0.00023 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Naumovozyma Naumovozyma dairenensis 27289 	S 0.00014 0.00086 0.00151 0.00359 0.00007 0.00475 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium betae 244734 	S 0.00242 0.00075 0.00045 0.00065 0.00042 0.00068 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus sp. Lzh-5 	2049935 4978 13354 10634 5841 406 4647 
Eukaryota Basidiomycota Malasseziomycetes Malasseziales Malasseziaceae Malassezia Malassezia restricta 76775 	S 0.01120 0.00314 0.00302 0.00345 0.01062 0.00339 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Alloprevotella Alloprevotella sp. E39 	2133944 1 1 1 1 156 1 
