	CRR125962	CRR125964	CRR125965	CRR125966	CRR125967	CRR125968	CRR125969	CRR125970	CRR125971	CRR125972	CRR125973	CRR125974	CRR125975	CRR125976	CRR125977	CRR125978	CRR125980	CRR125981	CRR125982	CRR125983	CRR125984	CRR125985	CRR125986	CRR125987	CRR125988	CRR125989	CRR125990	CRR125991	CRR125992	CRR125994	SRR10903401	SRR10903402	SRR11092056	SRR11092057	SRR11092058	SRR11092064	SRR5677652	SRR5677654	SRR5677656	SRR5677657	SRR5677658	SRR5677659	SRR5677660	SRR5677661
GO:0003824	0.047416666	0.047425934	0.045966124	0.056756252	0.043798654	0.067052662	0.042132502	0.015238372	0.045244924	0.033974839	0.059906172	0.02387089	0.047433124	0.015419626	0.037162926	0.061917687	0.059392745	0.037199952	0.051614273	0.048380912	0.046548036	0.038807596	0.032243554	0.03297453	0.040809075	0.028892423	0.031115158	0.042681928	0.065454925	0.040574285	0.025033173	0.025113395	0.044645079	0.030399517	0.036859131	0.047171738	0.066622898	0.050794465	0.051826986	0.044221508	0.053105662	0.053162598	0.061380587	0.047248023
GO:0008152	0.032153883	0.034928966	0.033170424	0.038523855	0.031765892	0.037731252	0.032595812	0.014343018	0.02891308	0.018365677	0.036535928	0.010866713	0.033216854	0.017801964	0.030265817	0.040154	0.035822869	0.016575448	0.028595528	0.032193987	0.026883928	0.024653549	0.020415909	0.023286119	0.028554439	0.012320754	0.024038469	0.016333379	0.037453169	0.026132931	0.009660512	0.009710975	0.028482766	0.014707282	0.020934767	0.029679588	0.041576495	0.03744672	0.033888088	0.032787979	0.037458709	0.039174516	0.041315521	0.029068469
GO:0009987	0.034657603	0.03694927	0.03405118	0.036016219	0.032137998	0.032957228	0.035161796	0.0155873	0.03153579	0.021519108	0.03044434	0.015304141	0.027763765	0.020058503	0.039162876	0.03309774	0.028806053	0.017968669	0.029481822	0.031649065	0.030741474	0.029028038	0.02310023	0.027758526	0.03145791	0.016826847	0.018920902	0.021792242	0.030393556	0.030254926	0.007721973	0.00771145	0.027274406	0.012629255	0.016556111	0.029729113	0.036613176	0.041262106	0.034163889	0.037865222	0.035738954	0.035645458	0.034090712	0.025170059
GO:0071704	0.023415182	0.023541003	0.023339323	0.025296686	0.022653222	0.024697	0.025332037	0.013262517	0.021944519	0.014646541	0.024418722	0.010252765	0.023365666	0.016985644	0.023831402	0.025277314	0.02305751	0.012100987	0.020328618	0.023540338	0.020253134	0.019032862	0.015883992	0.018062895	0.019807397	0.010890167	0.016613928	0.013740375	0.024263515	0.018587747	0.008019744	0.008041799	0.020670579	0.011632408	0.016485312	0.021032255	0.023385288	0.024867182	0.024522667	0.024641034	0.025453315	0.028434547	0.026208317	0.020875446
GO:0044237	0.022639749	0.024610028	0.022458567	0.02695556	0.022303885	0.027501257	0.02175225	0.013286661	0.020893991	0.013649347	0.025691808	0.008154811	0.023928866	0.01678417	0.022800083	0.027015504	0.024935087	0.012297204	0.021720383	0.025202323	0.019018919	0.016927845	0.017010194	0.017835485	0.020196138	0.008956062	0.016849851	0.012364935	0.026427122	0.018010587	0.006458566	0.006477182	0.019020626	0.010041993	0.01210121	0.020513168	0.029532461	0.028463953	0.023584943	0.024207272	0.027027408	0.028991508	0.028544482	0.020053229
GO:0005488	0.01889858	0.018143303	0.01912357	0.016266764	0.015898918	0.01750768	0.020269537	0.017910782	0.019192513	0.011673236	0.018043826	0.007526306	0.015989945	0.010987682	0.019232332	0.01413889	0.01232216	0.018429931	0.017125374	0.015297726	0.018860396	0.019040171	0.014072237	0.016680383	0.021912916	0.008893038	0.014612696	0.014690461	0.016917136	0.021472208	0.011633828	0.011682989	0.023320139	0.014615381	0.017166073	0.024318776	0.011740799	0.015781824	0.020184708	0.019430326	0.018597789	0.015447022	0.015531175	0.019979024
GO:0044238	0.021438324	0.021549725	0.021050489	0.021006012	0.020702304	0.01806264	0.024101146	0.007834565	0.019139901	0.012198312	0.018586647	0.010024998	0.019389871	0.016776354	0.023608259	0.01990645	0.017376637	0.010613238	0.015283088	0.021582812	0.017618254	0.016942463	0.012061523	0.016124491	0.01659896	0.01011114	0.015913616	0.010409748	0.015453214	0.016705879	0.007976315	0.007992041	0.018402396	0.010815036	0.015118344	0.018243243	0.021018057	0.023016891	0.021772535	0.023701216	0.022915972	0.025881402	0.021882084	0.017213564
GO:0016787	0.013549806	0.01149859	0.012822561	0.01222594	0.012221023	0.014496265	0.01516579	0.004827354	0.015894784	0.013696801	0.011932836	0.01533498	0.007095082	0.008388053	0.012680038	0.008966731	0.011117852	0.018359659	0.014527995	0.016132856	0.016086016	0.01204172	0.00670345	0.010536689	0.010382649	0.017560099	0.002791154	0.020955976	0.012813037	0.012397735	0.018451415	0.018425814	0.014480245	0.017600517	0.019148449	0.013500156	0.008569711	0.012836014	0.016390471	0.013924881	0.011042143	0.0145549	0.012165366	0.015314712
GO:0006807	0.019628081	0.018352508	0.018288054	0.016695862	0.017592931	0.016396784	0.021298536	0.007802826	0.017836627	0.011351518	0.015263846	0.009775895	0.018148299	0.016452804	0.021999832	0.012741416	0.011766888	0.009248769	0.015128726	0.018586936	0.015439694	0.015718191	0.012388678	0.014922464	0.015817578	0.009689684	0.015291753	0.01236757	0.013807161	0.015047924	0.007956245	0.007971298	0.016904993	0.010636642	0.014394014	0.016987448	0.01067042	0.016771089	0.019652806	0.020815028	0.018203091	0.020587815	0.013956426	0.013148192
GO:0016740	0.016641629	0.018778037	0.018268262	0.026697188	0.018408164	0.027026858	0.01368959	0.007259975	0.017643371	0.012738142	0.025397617	0.007420145	0.023267769	0.005661447	0.012279389	0.032895958	0.028584312	0.012347493	0.022305274	0.020259955	0.018728142	0.016229827	0.012260481	0.012316267	0.013145489	0.008645622	0.004316795	0.008840076	0.025095974	0.014426316	0.006390742	0.006439764	0.013805811	0.008396438	0.010037142	0.014861371	0.047537245	0.024873289	0.017186355	0.01666092	0.025227774	0.023446549	0.031650717	0.0198061
