feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1360	COVID19	TRUE	3.4580184782562	0.69694999230661	86	23	0.000214280029366412	0.0255528935019446
X402626	COVID19	TRUE	-2.42394023442393	0.572344422918383	86	39	0.000145312924000517	0.0255528935019446
X742013	COVID19	TRUE	2.09919616960409	0.490635695643134	86	34	0.000180277117950219	0.0255528935019446
X2696063	COVID19	TRUE	2.60614023123292	0.606915281301377	86	38	0.000153848582361015	0.0255528935019446
X1599	COVID19	TRUE	2.20951148985488	0.548443144135899	86	30	0.00054370591336188	0.0432246201122694
X1229205	COVID19	TRUE	-2.45463820436324	0.60238437248115	86	28	0.000486637298907259	0.0432246201122694
X1243	COVID19	TRUE	2.08767018765912	0.556698322631589	86	46	0.000937136880219106	0.0447014291864514
X13689	COVID19	TRUE	-3.46771534942146	0.900477525723719	86	26	0.000784243645859828	0.0447014291864514
X2057025	COVID19	TRUE	1.90982588197483	0.51101364863559	86	38	0.000881181074943575	0.0447014291864514
X2587161	COVID19	TRUE	1.86886235767507	0.492905632508117	86	32	0.00085447694372007	0.0447014291864514
X1661	COVID19	TRUE	-2.4365456224186	0.612875241836945	86	18	0.00119391781740798	0.0502445331396322
X1123519	COVID19	TRUE	-2.7465753713066	0.745108276493593	86	28	0.00126401341231779	0.0502445331396322
X1784714	COVID19	TRUE	1.65047191103324	0.455759809650849	86	25	0.00143301364200964	0.0525805774798922
X135727	COVID19	TRUE	-2.24706700874495	0.618711791677125	86	22	0.00166076692863135	0.0565847017826539
X983917	COVID19	TRUE	1.34216357809808	0.416406645359829	86	40	0.0026965581069927	0.0857505478023678
X231049	COVID19	TRUE	2.17436223328446	0.629301332046162	86	26	0.00308668814635532	0.0920218903632181
X766	COVID19	TRUE	-1.60331834907904	0.534215330880587	86	33	0.00527190083825264	0.108274077222891
X1613	COVID19	TRUE	1.95454907026407	0.627089930261791	86	38	0.00481669522292846	0.108274077222891
X186801	COVID19	TRUE	1.50632407939745	0.500508790647299	86	45	0.0046982733148096	0.108274077222891
X669502	COVID19	TRUE	-1.81945325135069	0.600376886774544	86	40	0.00437749408241556	0.108274077222891
X1219032	COVID19	TRUE	1.44618045985455	0.48157699049569	86	46	0.00473811362049446	0.108274077222891
X2052837	COVID19	TRUE	-2.59061550619342	0.837494633498873	86	27	0.00544775231310143	0.108274077222891
X2509614	COVID19	TRUE	-1.70105611302544	0.554507994764524	86	42	0.00405880858098734	0.108274077222891
X2529408	COVID19	TRUE	1.30512240880015	0.437273387832577	86	45	0.00519630117202543	0.108274077222891
X356322	COVID19	TRUE	1.54788775932238	0.522833270535808	86	40	0.00574813246098269	0.10967436735555
X2638319	COVID19	TRUE	-1.55300172006274	0.53651673999203	86	41	0.00712569306939187	0.130729061311535
X426355	COVID19	TRUE	-2.14520565160385	0.757755089036584	86	34	0.00835037023448878	0.147523207475968
X1292	COVID19	TRUE	1.34679094053066	0.485752028255209	86	29	0.0101776288180859	0.150195032587154
X1357	COVID19	TRUE	1.53428645071493	0.56218199952323	86	44	0.0108015874478883	0.150195032587154
X28188	COVID19	TRUE	2.25829743753041	0.796860430662186	86	27	0.00970571439222123	0.150195032587154
X31953	COVID19	TRUE	-1.65270872049348	0.598469012917806	86	34	0.0114911074706906	0.150195032587154
X159087	COVID19	TRUE	2.29459080722619	0.796690232506562	86	27	0.00935428990199206	0.150195032587154
X169427	COVID19	TRUE	2.34586367794026	0.809784759660621	86	18	0.0111260703468258	0.150195032587154
X1349819	COVID19	TRUE	1.99338661034119	0.730104278577333	86	34	0.0113342150059493	0.150195032587154
X1813871	COVID19	TRUE	1.52169439361887	0.558244230713116	86	44	0.0106560247171573	0.150195032587154
X1844971	COVID19	TRUE	-1.26606578088032	0.474674865875906	86	38	0.0116503484396744	0.150195032587154
X1849491	COVID19	TRUE	1.50377721854841	0.554760455623821	86	37	0.011363866125966	0.150195032587154
X696485	COVID19	TRUE	1.60984822988387	0.598135506445566	86	33	0.0122959322175895	0.15434630704711
X2303331	COVID19	TRUE	1.50857551788181	0.467080871545356	86	36	0.0139297467638455	0.162060712350105
X2497456	COVID19	TRUE	1.7693024208414	0.640457842228114	86	20	0.0139161247431674	0.162060712350105
X2603276	COVID19	TRUE	-1.82647071649679	0.702373586456001	86	44	0.0137980380828307	0.162060712350105
X292	COVID19	TRUE	-1.5137332417935	0.603602621995183	86	41	0.016418917612293	0.179670919178681
X338	COVID19	TRUE	1.15066133911195	0.464708374855256	86	38	0.0184467613505592	0.179670919178681
X853	COVID19	TRUE	1.28642428272192	0.505259436790721	86	43	0.0170849043354132	0.179670919178681
X1345	COVID19	TRUE	1.74193351810062	0.683998742472796	86	32	0.0178955297204313	0.179670919178681
X1358	COVID19	TRUE	1.20664091565666	0.469746278726684	86	35	0.0168979249121417	0.179670919178681
X40041	COVID19	TRUE	1.4868343026687	0.56245043836029	86	28	0.0184567610896339	0.179670919178681
X477641	COVID19	TRUE	-1.60496102273154	0.621940892096517	86	28	0.0168897787588635	0.179670919178681
X1392005	COVID19	TRUE	-0.961839680329114	0.388156318439267	86	48	0.0174637317393458	0.179670919178681
X13373	COVID19	TRUE	-1.02188593198762	0.429459818431301	86	48	0.0230904953500508	0.220283325639485
X59814	COVID19	TRUE	-1.37062268459364	0.564502849929949	86	24	0.0247965364903609	0.231920547174552
X63	COVID19	TRUE	1.5524111757314	0.662014897706776	86	23	0.0299131176208586	0.274395328945184
X1660	COVID19	TRUE	1.25963612089039	0.551080197320231	86	55	0.0328726050355555	0.279998196527538
X1663	COVID19	TRUE	0.990228903243999	0.418882326927554	86	23	0.0326388168561652	0.279998196527538
X46170	COVID19	TRUE	1.24684475751569	0.564859726720803	86	54	0.0334589039875675	0.279998196527538
X1812935	COVID19	TRUE	1.4489399678912	0.605324765212457	86	34	0.0317156980974393	0.279998196527538
X1852377	COVID19	TRUE	1.57128805013253	0.683501243353158	86	29	0.0316905711461516	0.279998196527538
X68895	COVID19	TRUE	1.29523677738497	0.57499081928542	86	27	0.0346924239602739	0.285315279811218
X138074	COVID19	TRUE	1.73433699492663	0.796268534725269	86	37	0.0375076544557194	0.293082732625261
X357809	COVID19	TRUE	1.18050456893443	0.539117777777749	86	32	0.0379281601911338	0.293082732625261
X380021	COVID19	TRUE	1.42933314660694	0.649391163941694	86	28	0.0380946109491954	0.293082732625261
X2666025	COVID19	TRUE	1.22442576787158	0.555458922454938	86	33	0.0364298442304935	0.293082732625261
X2049	COVID19	TRUE	0.983665440122375	0.463096365189424	86	50	0.0400688012012814	0.294043356507865
X32011	COVID19	TRUE	1.80787678270996	0.801149480453745	86	38	0.039036208585611	0.294043356507865
X1911586	COVID19	TRUE	1.73332395062509	0.782906781959996	86	29	0.0395860668007308	0.294043356507865
X553	COVID19	TRUE	1.00355329343725	0.464640429704725	86	26	0.040991751137191	0.296258565036971
X471854	COVID19	TRUE	-2.22136957705172	1.01710220524263	86	20	0.0447863560637235	0.318852117050688
X964	COVID19	TRUE	-1.11565780816754	0.539252757937662	86	34	0.0476233667979893	0.323196923437885
X72274	COVID19	TRUE	1.18330276258372	0.577449312042273	86	44	0.0475651275088972	0.323196923437885
X93973	COVID19	TRUE	1.00748872509911	0.483659304360066	86	31	0.0481068795892869	0.323196923437885
X106649	COVID19	TRUE	1.60215310171739	0.764932501440222	86	25	0.0479838109277679	0.323196923437885
X338969	COVID19	TRUE	1.44837921977647	0.703942993513393	86	37	0.0575314823844452	0.378876251495276
X637910	COVID19	TRUE	1.25091211077037	0.631395943151283	86	34	0.0579831579856503	0.378876251495276
X213	COVID19	TRUE	-1.53008415638145	0.766186704284244	86	23	0.0605551361077311	0.387880994636157
