feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1360	COVID19	TRUE	3.4580184782562	0.69694999230661	86	23	0.000214280029366412	0.0255528935019446
X402626	COVID19	TRUE	-2.42394023442393	0.572344422918383	86	39	0.000145312924000517	0.0255528935019446
X742013	COVID19	TRUE	2.09919616960409	0.490635695643134	86	34	0.000180277117950219	0.0255528935019446
X2696063	COVID19	TRUE	2.60614023123292	0.606915281301377	86	38	0.000153848582361015	0.0255528935019446
X1599	COVID19	TRUE	2.20951148985488	0.548443144135899	86	30	0.00054370591336188	0.0432246201122694
X1229205	COVID19	TRUE	-2.45463820436324	0.60238437248115	86	28	0.000486637298907259	0.0432246201122694
X1243	COVID19	TRUE	2.08767018765912	0.556698322631589	86	46	0.000937136880219106	0.0447014291864514
X13689	COVID19	TRUE	-3.46771534942146	0.900477525723719	86	26	0.000784243645859828	0.0447014291864514
X2057025	COVID19	TRUE	1.90982588197483	0.51101364863559	86	38	0.000881181074943575	0.0447014291864514
X2587161	COVID19	TRUE	1.86886235767507	0.492905632508117	86	32	0.00085447694372007	0.0447014291864514
