feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2509614	Community.Acquired.Pneumonia	TRUE	2.35963493073125	0.486935051558757	86	42	2.07863073382655e-05	0.00986012155094278
X2603276	Community.Acquired.Pneumonia	TRUE	2.6415518091608	0.568656842054754	86	44	4.1342228725127e-05	0.00986012155094278
X908290	Community.Acquired.Pneumonia	TRUE	2.38425083355186	0.496735606187988	86	31	7.41514047157098e-05	0.0117900733497979
X426355	Community.Acquired.Pneumonia	TRUE	2.10058989006979	0.507174097303174	86	34	0.000280888016524335	0.0267967167764216
X2638319	Community.Acquired.Pneumonia	TRUE	1.74829011115811	0.426063824863767	86	41	0.000240157092970932	0.0267967167764216
X59814	Community.Acquired.Pneumonia	TRUE	2.06183898645655	0.481823943894915	86	24	0.000366761124789692	0.0291575094207805
X34072	Community.Acquired.Pneumonia	TRUE	1.53582252279058	0.417774382949779	86	55	0.00061968232070176	0.0360252660218891
X53335	Community.Acquired.Pneumonia	TRUE	2.32791000029654	0.614648156309818	86	27	0.000981820667263226	0.0360252660218891
X402626	Community.Acquired.Pneumonia	TRUE	1.95891241425384	0.537477832751837	86	39	0.000942256044718804	0.0360252660218891
X663243	Community.Acquired.Pneumonia	TRUE	1.50802347666851	0.410187821785429	86	53	0.000635998158154417	0.0360252660218891
X1229205	Community.Acquired.Pneumonia	TRUE	2.18824718944969	0.564699844403145	86	28	0.0008469550689436	0.0360252660218891
X2202826	Community.Acquired.Pneumonia	TRUE	1.89078688252278	0.390419619301036	86	41	0.000805783099080045	0.0360252660218891
X2696063	Community.Acquired.Pneumonia	TRUE	-2.40000124293628	0.652513411854501	86	38	0.000863226572656032	0.0360252660218891
X1392005	Community.Acquired.Pneumonia	TRUE	1.29763861102535	0.378369160305625	86	48	0.00128597161227596	0.0438148899325451
X329	Community.Acquired.Pneumonia	TRUE	1.06071569779699	0.311833502634159	86	45	0.00158606427075838	0.0445030974795146
X766	Community.Acquired.Pneumonia	TRUE	1.54046244505467	0.440756932587587	86	33	0.00145222301193184	0.0445030974795146
X2599600	Community.Acquired.Pneumonia	TRUE	2.02111918058742	0.542898469401906	86	21	0.00157866888656597	0.0445030974795146
