id	observed	chao1	diversity_inverse_simpson	diversity_gini_simpson	diversity_shannon	diversity_fisher	diversity_coverage	evenness_camargo	evenness_pielou	evenness_simpson	evenness_evar	evenness_bulla	dominance_dbp	dominance_dmn	dominance_absolute	dominance_relative	dominance_simpson	dominance_core_abundance	rarity_log_modulo_skewness	rarity_low_abundance	rarity_rare_abundance
CRR125941	545	574	9.907387276	0.899065215	3.161377436	63.08578383	4	0.070018113	0.50174336	0.018178692	0.162551985	0.17881423	0.2059309	0.351994184	73360	0.2059309	0.100934785	0.935307804	2.061418435	0.121983741	0.728581614
CRR125949	544	559.8125	8.575216039	0.883384862	3.040123481	64.12689404	3	0.067407571	0.48263978	0.015763265	0.187289771	0.168784809	0.233462859	0.418092097	72338	0.233462859	0.116615138	0.937181327	2.061418418	0.109786089	0.740450156
SRR11092059	565	565	9.554714616	0.895339627	3.112403208	55.82109551	4	0.059258405	0.491161244	0.016910999	0.182890416	0.164862965	0.198487142	0.368594697	275599	0.198487142	0.104660373	0.940816435	2.061381838	0.097619874	0.957031987
SRR11092060	554	563.0909091	11.52452571	0.913228533	3.309161123	73.53649946	4	0.082992578	0.52383645	0.020802393	0.198680474	0.17103663	0.199706047	0.321485481	27447	0.199706047	0.086771467	0.934955781	2.061423036	0.096720679	0.869925857
SRR11092061	554	561.5	13.23695598	0.92445393	3.4599685	72.45091974	5	0.093201236	0.547709087	0.023893422	0.195876487	0.192131674	0.179580206	0.287556564	27224	0.179580206	0.07554607	0.924957731	2.061423036	0.112620219	0.886852069
SRR11092062	554	561.7777778	11.76061372	0.914970424	3.387125127	74.2833523	4	0.080883102	0.536178063	0.021228545	0.213493955	0.181638896	0.18049728	0.353255633	23230	0.18049728	0.085029576	0.926859626	2.061423036	0.113022533	0.614087024
SRR5677655	320	397.0192308	8.475558911	0.882013681	3.202988209	56.05358445	5	0.318295859	0.555272186	0.026486122	0.220435549	0.198474753	0.309646779	0.395428911	5216	0.309646779	0.117986319	0.947848236	2.061423036	0.088156723	0.38527753
SRR11092063	532	571.4821429	7.810573846	0.871968434	3.204202795	80.64900512	3	0.082840203	0.510496223	0.01468153	0.224324587	0.179507462	0.315970574	0.424808462	18641	0.315970574	0.128031566	0.930497414	2.061423036	0.115262052	0.720540376
CRR125947	558	567.4285714	14.55147019	0.931278422	3.804438869	55.66452763	6	0.107804579	0.601553279	0.026077904	0.122248736	0.240453934	0.204869599	0.297385936	257366	0.204869599	0.068721578	0.899881455	2.061348309	0.149268891	0.436840643
CRR125943	563	569.6666667	7.532418692	0.867240519	2.837086891	46.05348635	3	0.030691262	0.447964887	0.013379074	0.073676261	0.11218483	0.305950432	0.437597973	2871607	0.305950432	0.132759481	0.969751921	2.061123163	0.051907673	0.191080154
