metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
case	X1360	COVID19	1.52781471235038	0.204926684792396	86	7	6.3689207121804e-07	0.000234800876922384
case	X34072	Uninfected	-1.00782012238147	0.1724080105033	86	45	3.55380888984614e-07	0.000234800876922384
case	X2126319	Uninfected	-1.2227624269458	0.211206888784784	86	40	6.19881257299308e-07	0.000234800876922384
case	X663243	Uninfected	-0.936184633084651	0.176212571787632	86	44	2.57382375270273e-06	0.000711662267622304
case	X436515	Uninfected	-1.14331954246914	0.223496033717457	86	35	1.01313611094288e-05	0.00224105707740565
case	X2696063	COVID19	1.0157204902287	0.213354799706232	86	18	3.29953144296863e-05	0.00608213629320551
case	X964	Uninfected	-0.793539514885632	0.169340342036459	86	25	6.0285759315544e-05	0.00666760498029917
case	X93973	Uninfected	-0.480082472351391	0.0914505318083999	86	23	4.78673807019484e-05	0.00666760498029917
case	X2202826	Uninfected	-0.631770477853038	0.139362658166203	86	26	5.6374992587353e-05	0.00666760498029917
case	X2509614	COVID19	-0.7039462693161	0.154901424991818	86	25	5.20961432871496e-05	0.00666760498029917
case	X1528098	COVID19	-0.86654513511977	0.163948340941729	86	6	6.79559767627075e-05	0.00683266457268678
case	X329	Uninfected	-0.666808011227978	0.153654706431835	86	40	0.000109013531423834	0.00771684372747985
case	X338969	Uninfected	-0.863784476577718	0.195184862266991	86	17	9.41971254279126e-05	0.00771684372747985
case	X908290	Uninfected	-0.817790113885658	0.178338162009364	86	15	8.60438023886513e-05	0.00771684372747985
case	X2014887	Uninfected	-1.1374959139517	0.240101964135568	86	6	0.000111636075623578	0.00771684372747985
case	X2067957	Uninfected	-0.681636788767114	0.161135691926959	86	44	0.000100098902795905	0.00771684372747985
case	X402626	COVID19	-0.763191082278975	0.178000040422979	86	21	0.000129338928256732	0.00795402451406144
case	X946333	Uninfected	-0.686418165028408	0.158452277976134	86	21	0.000136642374111363	0.00795402451406144
case	X2116657	Uninfected	-1.00826719979653	0.235761141685995	86	25	0.000133450193053931	0.00795402451406144
case	X2603276	COVID19	-0.767779771464365	0.184461518861835	86	23	0.000157486644672379	0.00870901145038253
case	X742013	COVID19	0.663440957839702	0.154932487166942	86	19	0.000165809291233544	0.00873262267163332
case	X573061	COVID19	0.989292960188035	0.219483743279966	86	6	0.00017470185682226	0.00878273880206453
case	X1849491	COVID19	0.745666867919888	0.179870578012454	86	22	0.000214038245048264	0.0102924477836252
case	X1229205	COVID19	-0.708838636512674	0.164574964497245	86	11	0.000224445534972847	0.010343198403332
case	X624	Uninfected	-0.52474092377055	0.129766481136253	86	19	0.000281295084651002	0.0124444945449603
case	X2202826	COVID19	-0.509458359519717	0.12861054436392	86	26	0.0003167442776138	0.0134738142708024
case	X426355	Uninfected	-0.65856375655309	0.164933566343176	86	20	0.000389506860113517	0.0154191281544626
case	X2599600	Uninfected	-0.706571357547895	0.162624652649383	86	8	0.000390357674796522	0.0154191281544626
case	X32011	Uninfected	-0.722029840190294	0.183363501946881	86	24	0.000420467195736557	0.0160357489132632
case	X1768	Uninfected	-0.741139001682617	0.187012737199245	86	7	0.000580782521209302	0.0210204078244901
case	X2638319	COVID19	-0.492266120995582	0.131287282572461	86	26	0.0005891796044839	0.0210204078244901
case	X13689	COVID19	-1.12680466711508	0.28856207141582	86	14	0.000741478068564689	0.0254807616643436
case	X231049	COVID19	0.843844897658701	0.217412240767474	86	12	0.000760275890527431	0.0254807616643436
case	X766	COVID19	-0.604530446830962	0.161990781617001	86	15	0.000793272747955153	0.0258046958599529
case	X1660	COVID19	0.526049498729789	0.147107582019956	86	43	0.000851565519059034	0.0266750764044143
case	X28188	COVID19	0.92200829384576	0.242707020522516	86	6	0.000874557405212507	0.0266750764044143
case	X159087	COVID19	1.08894185108591	0.286913596193417	86	12	0.000892385015337549	0.0266750764044143
case	X946483	Uninfected	-0.90204279534385	0.25168919241865	86	33	0.000951790635493489	0.0277021169172579
case	X2603276	Uninfected	-0.854877044511324	0.24260229518155	86	23	0.00106080837936327	0.0300834376301482
case	X748678	Uninfected	-0.783001198591746	0.21529142866693	86	12	0.00125051799625711	0.0345768225965091
case	X1123519	COVID19	-0.751333851537315	0.206611570973309	86	9	0.00132165242969129	0.0356523801765504
case	X1697053	Uninfected	1.105951857704	0.298636715077912	86	9	0.00140625347494312	0.0370313415068356
case	X2057025	COVID19	0.618214888178548	0.180229902337686	86	17	0.00156297271258664	0.0402011120958331
case	X1392005	COVID19	-0.420094609508455	0.125101536130948	86	28	0.00160956253666563	0.0404585492170951
case	X881260	Uninfected	-0.852708228334216	0.248280496671434	86	22	0.0017857036674688	0.0429345273091412
case	X1246301	Uninfected	-0.748683057343542	0.224796467040755	86	35	0.00175207012054997	0.0429345273091412
case	X43662	Uninfected	-0.725879339157315	0.207723382362033	86	8	0.00188274717380475	0.0430434074231764
case	X186801	COVID19	0.519858674481241	0.156702779583788	86	24	0.00188197169920691	0.0430434074231764
case	X2509614	Uninfected	-0.792755712902061	0.238073067253036	86	25	0.00190698640482427	0.0430434074231764
case	X413882	Uninfected	-0.707991166171469	0.213713184938984	86	12	0.00219894844222455	0.0484698740584234
case	X1844971	COVID19	-0.43386157170119	0.131507870975448	86	30	0.00223504844211536	0.0484698740584234
case	X85015	Uninfected	-0.560147992376095	0.173159345889474	86	28	0.00232392468187523	0.0494280903491155
case	X1678128	Uninfected	-0.540976826145911	0.166227516762769	86	28	0.00245003768206798	0.0511272014408902
case	X1599	COVID19	0.752113253586956	0.225848067508219	86	9	0.00252483381859663	0.051565399079845
case	X46170	COVID19	0.474977298942528	0.149572696404815	86	32	0.00256428295605016	0.051565399079845
case	X51669	COVID19	1.10336995896042	0.318257111646187	86	9	0.0028619937983531	0.055793585589109
case	X2486578	Uninfected	-0.769332673705472	0.216427137070269	86	8	0.00292588423523356	0.055793585589109
case	X2697032	Uninfected	-0.854372376250011	0.257644118619436	86	28	0.00288165842116174	0.055793585589109
case	X54736	Uninfected	-0.664985489872315	0.207883882067832	86	10	0.00310600991131246	0.0567336008923962
case	X983917	COVID19	0.414358584709417	0.131037376463812	86	11	0.00312260358335804	0.0567336008923962
case	X2587161	COVID19	0.593875447983724	0.184263141244296	86	8	0.00312906840364934	0.0567336008923962
case	X32011	COVID19	0.529566906514157	0.166502031089844	86	24	0.00326931276736742	0.0579154550009662
case	X2233999	Uninfected	0.72383340585606	0.228997470534274	86	11	0.00329898161397909	0.0579154550009662
case	X53408	Uninfected	-0.783418059095476	0.232041424462997	86	8	0.00349661527664425	0.0594962537841314
case	X488538	Uninfected	-0.816613015589984	0.244792543507397	86	9	0.00347230365081382	0.0594962537841314
case	X908290	COVID19	-0.59238872927708	0.18663734897289	86	15	0.00363628607615625	0.0609353393974062
case	X1852377	COVID19	0.603578693028549	0.189236888296929	86	23	0.00369732897669385	0.0610335201227373
case	X53335	COVID19	-0.632891444461084	0.198125739568377	86	18	0.00391263534951147	0.0632198141887105
case	X2664291	Uninfected	-0.6167004193552	0.198957788518978	86	26	0.00394409329025409	0.0632198141887105
case	X526224	Uninfected	0.571337561357396	0.173479220613183	86	5	0.00402126011653774	0.0635359098412963
case	X32012	Uninfected	-0.766291613057013	0.247487809941058	86	22	0.00415258049184128	0.0646866763940346
case	X1812935	Uninfected	-0.625890434192029	0.205857115299872	86	15	0.00491861677107581	0.0745204129973952
case	X2014534	COVID19	0.716215009855568	0.230159629613139	86	12	0.00490812286735802	0.0745204129973952
case	X40041	COVID19	0.547481296595654	0.175936720681079	86	10	0.00510315514878519	0.0752545279274189
case	X1129771	COVID19	0.700606810415832	0.230944244573174	86	23	0.00510098197806406	0.0752545279274189
case	X169427	COVID19	0.877081475623978	0.26898208116511	86	5	0.00526608603431541	0.0756401448565304
case	X1648923	COVID19	-0.753962658383325	0.248103962635411	86	9	0.00521016794775452	0.0756401448565304
case	X960	Uninfected	-0.527591243949415	0.173094640028847	86	9	0.00559314047984022	0.0789220483170783
case	X1670800	Uninfected	-0.624260531550874	0.202473659381238	86	8	0.00563728916550559	0.0789220483170783
case	X53335	Uninfected	-0.641039484391871	0.211486650832483	86	18	0.00579976147232004	0.0801817023548246
case	X2638319	Uninfected	-0.57182358655032	0.197658951938076	86	26	0.00628480994029219	0.0858148122711501
case	X292	COVID19	-0.534699862523731	0.189801513837221	86	17	0.00764511444787647	0.0950055795432739
case	X1360	Uninfected	0.633363351673548	0.208662796183693	86	7	0.00706516421669934	0.0950055795432739
case	X95485	Uninfected	-0.487739039499334	0.170747812039496	86	20	0.00735695436828645	0.0950055795432739
case	X138074	COVID19	0.523622257378623	0.184374866008137	86	16	0.00756459588182971	0.0950055795432739
case	X313596	Uninfected	0.878099534184314	0.298332573356612	86	13	0.00751705561796451	0.0950055795432739
case	X1813871	COVID19	0.410189888580289	0.146123222937463	86	30	0.0076329681350108	0.0950055795432739
case	X2303331	Uninfected	-0.413010182079474	0.144182141080176	86	14	0.00731715302930615	0.0950055795432739
case	X2652307	COVID19	0.738622743378726	0.250909057292791	86	13	0.0072891463053793	0.0950055795432739
case	X224471	Uninfected	-0.482010097715636	0.128880315447148	86	42	0.00778395503496105	0.0956561585407435
case	X2594473	Uninfected	-0.562228711402911	0.197041447620097	86	17	0.00790098265036705	0.0960273275967687
case	X159	Uninfected	0.544880529725577	0.185017182284348	86	5	0.00858449199262482	0.103200523302642
case	X59814	Uninfected	-0.523763284409371	0.181207458391655	86	11	0.00878544717104578	0.104480694313727
case	X1243	COVID19	0.530064493804296	0.193100623348705	86	22	0.00890186863523068	0.104739007559203
case	X2547399	COVID19	-0.499651247345354	0.17745713549329	86	12	0.00902000848464271	0.105011888252788
case	X929713	COVID19	0.570052791205268	0.204171448179243	86	17	0.00950400330892261	0.109494038121546
case	X696485	COVID19	0.471098014606886	0.16842428790702	86	14	0.00961753604422774	0.109659740875421
case	X13373	COVID19	-0.34555806546761	0.128538545154892	86	15	0.0100728470688935	0.113679274063227
case	X434	Uninfected	-1.04445232754543	0.368996848754618	86	22	0.0106689793881937	0.11646890131191
case	X59814	COVID19	-0.547549328228437	0.150409715450924	86	11	0.0106263887690767	0.11646890131191
case	X224471	COVID19	-0.291735304062654	0.104148651755003	86	42	0.0106977319951364	0.11646890131191
case	X1528098	Uninfected	-0.296247441667125	0.1026379470661	86	6	0.0107412549130333	0.11646890131191
case	X669502	COVID19	-0.551778846978756	0.206339720285374	86	11	0.0111128844979169	0.118213538996922
case	X1784714	COVID19	0.491873193743952	0.177434362350084	86	8	0.0111159204843399	0.118213538996922
case	X80811	Uninfected	0.746928992655947	0.264612523760546	86	8	0.0118316396651241	0.124626604472641
case	X72274	COVID19	0.458132648253041	0.175102134240452	86	28	0.0123857415331469	0.128024580707108
case	X1660158	COVID19	-0.65330048936509	0.246164080098922	86	15	0.0122874977778668	0.128024580707108
case	X2086577	Uninfected	0.619533047301315	0.233466168298432	86	13	0.0131815046958068	0.134988372162614
case	X1082851	Uninfected	-0.431809421251314	0.168988357221805	86	19	0.0144176093681071	0.146292440010334
case	X426355	COVID19	-0.517957559016211	0.20065687960213	86	20	0.0148480833883614	0.147945767815565
case	X2599297	Uninfected	-0.637906142849484	0.246758596338856	86	13	0.0148394667334222	0.147945767815565
case	X63	COVID19	0.657951310015372	0.247563446203936	86	6	0.015110661626886	0.149217783565499
case	X1427984	Uninfected	0.747152324335278	0.27882170680966	86	5	0.0154535492586245	0.149926539298585
case	X2696063	Uninfected	0.533205383617933	0.209321387159495	86	18	0.0154404839403727	0.149926539298585
case	X853	Uninfected	-0.446371179015935	0.177224672697718	86	29	0.0158808648194679	0.152732491220274
case	X864051	Uninfected	-0.763440182567358	0.301367847153059	86	16	0.0165757870638852	0.158041555971181
case	X1678129	Uninfected	-0.355318643194685	0.140826142413918	86	22	0.017310563279054	0.163636606723365
case	X1349819	COVID19	0.505820923680251	0.202672080755971	86	18	0.0182754312991364	0.171293449295295
case	X34038	Uninfected	0.642547236763598	0.246593719489989	86	13	0.0186396160384115	0.173238784357001
case	X329854	Uninfected	0.566131936153105	0.225496797001192	86	15	0.0199007851043868	0.183418902712098
case	X2529408	COVID19	0.343401025802207	0.142187682566443	86	36	0.020221028640231	0.184830228728062
case	X29547	Uninfected	0.413555085998674	0.165487019339356	86	17	0.0209019122909025	0.186431572530146
case	X1129771	Uninfected	0.643765166145255	0.263282904022245	86	23	0.0208415010294692	0.186431572530146
case	X1660158	Uninfected	-0.427279080060124	0.175831485784944	86	15	0.0208843955314115	0.186431572530146
case	X546	Uninfected	-0.456315659781127	0.188632967123508	86	13	0.0215611157073565	0.188497293323345
case	X1357	COVID19	0.484558529643615	0.202138725716727	86	26	0.0214947181556855	0.188497293323345
case	X1697053	COVID19	0.513344716399028	0.206078911830403	86	9	0.0216448067378524	0.188497293323345
case	X41295	Uninfected	-0.603233857032545	0.249467090586154	86	18	0.022678625797685	0.193393963370634
case	X365044	COVID19	-0.335678291451587	0.137451184242468	86	14	0.022731659347362	0.193393963370634
case	X556053	Uninfected	-0.541972837971418	0.218541603782466	86	10	0.0224660306520202	0.193393963370634
case	X1219032	Uninfected	-0.426089770592193	0.179749455862884	86	31	0.02318525112696	0.195199186264892
case	X1868589	Uninfected	-0.504700229064591	0.20956635694514	86	4	0.0232968287404754	0.195199186264892
case	X1653	Uninfected	-0.409277417407364	0.174942078313778	86	29	0.0237584458196356	0.197570233658023
case	X2303331	COVID19	0.306819278069408	0.129821426772419	86	14	0.0245105607372661	0.202303583398629
case	X174633	Uninfected	-0.631063319617091	0.260059036600926	86	7	0.0259673006909191	0.21193512033147
case	X2027919	Uninfected	-0.501684593625512	0.216575950131384	86	19	0.0262523611983828	0.21193512033147
case	X2509675	COVID19	-0.637168462691212	0.256921201069621	86	4	0.026174456784973	0.21193512033147
case	X2052837	COVID19	-0.635528937908189	0.268276471814052	86	9	0.0267940283997165	0.214740546449902
case	X1736675	COVID19	0.691924215275358	0.292860433309286	86	10	0.0281367759163691	0.222970241165071
case	X2116657	COVID19	-0.3953815872276	0.172934208980632	86	25	0.0282240811601356	0.222970241165071
case	X2072590	COVID19	0.73556331445665	0.311318333495453	86	9	0.0288499073819789	0.226297855067154
case	X83333	Uninfected	-0.399494943280696	0.176599493413149	86	27	0.0298350425201198	0.23237716216375
case	X1911586	COVID19	0.594419955856864	0.258323091439302	86	11	0.0301578337478452	0.233248700175642
case	X1392005	Uninfected	-0.340387138551177	0.152336996761544	86	28	0.0306515506647581	0.2354209377446
case	X300	Uninfected	-0.390664575018492	0.172265912854962	86	18	0.031250986081286	0.238369590385534
case	X28129	COVID19	0.311445189534457	0.142304338581937	86	45	0.0333253462614297	0.252450910720145
case	X547	COVID19	-0.522942500028775	0.235775378665033	86	11	0.0336850612305191	0.253234207687152
case	X1308	COVID19	0.318830863987336	0.146335538914917	86	36	0.0346495234751397	0.253234207687152
case	X1358	COVID19	0.40272934697836	0.181358020688067	86	17	0.0341985351487444	0.253234207687152
case	X51669	Uninfected	0.590637687452016	0.257639663970431	86	9	0.0349058042959758	0.253234207687152
case	X434010	Uninfected	-0.515850887186093	0.228699742523031	86	13	0.0339132395566378	0.253234207687152
case	X1218801	COVID19	0.975051109822319	0.424062654636519	86	6	0.034434492123284	0.253234207687152
case	X1463165	Uninfected	-0.48298897493171	0.21968812107343	86	19	0.0350314952767941	0.253234207687152
case	X1160717	Uninfected	-0.559908013244972	0.254180976700074	86	18	0.0357314103285513	0.256616492359596
case	X135727	Uninfected	0.400005449679719	0.177628005972196	86	4	0.0363505668599424	0.257716198378822
case	X1016987	Uninfected	-0.679783708855112	0.302709082043569	86	6	0.0361849631197111	0.257716198378822
case	X2049	COVID19	0.327191571337209	0.152603863394756	86	37	0.0372314857961494	0.262280403124467
case	X376	Uninfected	0.306498729893004	0.140415518082988	86	10	0.0392829666282313	0.263314915701963
case	X766	Uninfected	-0.338565364332552	0.155875702288022	86	15	0.037888324199756	0.263314915701963
case	X31953	COVID19	-0.45701558453325	0.21133446574093	86	24	0.0384307636392919	0.263314915701963
case	X64104	COVID19	0.518556101071573	0.236619211946636	86	7	0.0379457336324576	0.263314915701963
case	X95485	COVID19	-0.330821714144726	0.154103608958337	86	20	0.0392567602058878	0.263314915701963
case	X168471	Uninfected	-0.663711976780969	0.298723241202685	86	4	0.0386392923334536	0.263314915701963
case	X482957	COVID19	-0.394050648933627	0.181110070774662	86	7	0.039233528952179	0.263314915701963
case	X2609248	COVID19	0.588654547409485	0.271198067413104	86	14	0.0392764056273404	0.263314915701963
case	X40215	Uninfected	-0.405473081576435	0.191827682799131	86	15	0.0415335066158664	0.273428918554454
case	X1242245	Uninfected	-0.665798750050586	0.30571193584631	86	14	0.0413299625023134	0.273428918554454
case	X1844971	Uninfected	-0.288459491653448	0.136210475457797	86	30	0.0413728219306262	0.273428918554454
case	X169679	COVID19	0.545396612146468	0.25938826266975	86	11	0.0449596382792726	0.289658090999238
case	X515620	Uninfected	-0.492946490794754	0.237619649116595	86	24	0.0446773877144828	0.289658090999238
case	X1609758	COVID19	-0.600470699011677	0.280855618163926	86	7	0.0450462853995198	0.289658090999238
case	X1813871	Uninfected	-0.369308351638729	0.177934991211545	86	30	0.0442865072328555	0.289658090999238
case	X138	COVID19	0.438083779153709	0.202244939801059	86	1	0.0457499009148939	0.292214462014075
case	X237258	Uninfected	-0.451169727607425	0.217036264168847	86	14	0.0460034043203626	0.292214462014075
case	X1499973	COVID19	-0.44733218236834	0.214813015529248	86	9	0.0462364655085562	0.292214462014075
case	X68895	COVID19	0.38588389312178	0.184623004850601	86	11	0.0473775353084468	0.296042678255041
case	X171552	Uninfected	0.542445940456772	0.263851058187717	86	28	0.0472051499788824	0.296042678255041
case	X1661	COVID19	-0.720582251142402	0.334912278824131	86	9	0.0481327492154834	0.299072026024296
case	X329854	COVID19	0.55084968597529	0.263785094138422	86	15	0.0485636632127522	0.300063751470972
case	X357809	Uninfected	-0.429875477534746	0.209180279273841	86	19	0.0491393531415488	0.301934025414183
case	X620	Uninfected	-0.427967029487587	0.211444596255395	86	10	0.0516598096311054	0.313932689296717
case	X269798	COVID19	-0.488038126996574	0.240713466089195	86	17	0.0516208441508523	0.313932689296717
case	X434	COVID19	-0.673589567848395	0.329420915350376	86	22	0.0524865350779699	0.317213703804561
case	X414684	Uninfected	-0.39343290435651	0.194787957245912	86	16	0.0538211897016307	0.323512151141323
case	X680	COVID19	-1.09722914258549	0.494145408702229	86	2	0.0571412647103716	0.334382215712545
case	X365044	Uninfected	-0.282700636282144	0.139455632722707	86	14	0.0569545200455294	0.334382215712545
case	X656366	Uninfected	0.682806324073121	0.336097110190189	86	4	0.0564217892192843	0.334382215712545
case	X2500547	COVID19	0.424914729899302	0.213717000015878	86	15	0.0567172211126053	0.334382215712545
case	X2529408	Uninfected	-0.330722377761948	0.168545865251222	86	36	0.0565832753708055	0.334382215712545
case	X31969	COVID19	0.404441816550578	0.206481567964742	86	9	0.0591931140723432	0.33755329063974
case	X48296	Uninfected	-0.422154514874362	0.210897361661237	86	5	0.0590676371249877	0.33755329063974
case	X66269	Uninfected	-0.381524327929338	0.19616891290117	86	13	0.0591833815947718	0.33755329063974
case	X206389	Uninfected	-0.639378631760299	0.320289846247972	86	8	0.0595143686028474	0.33755329063974
case	X282217	Uninfected	-0.604247637926033	0.307876894332323	86	16	0.0593482582141	0.33755329063974
case	X2169539	COVID19	0.555946322783747	0.280992351190706	86	14	0.0585565978883789	0.33755329063974
case	X1663	COVID19	0.266287811136926	0.134066717328275	86	10	0.0608842358967698	0.340105016523147
case	X28056	Uninfected	-0.292843297943754	0.149127031241489	86	19	0.0606956942717458	0.340105016523147
case	X83406	COVID19	-0.956853574621493	0.458338313037867	86	1	0.060886793193113	0.340105016523147
case	X2120	Uninfected	0.462234858264747	0.235517771159813	86	5	0.0653349448084197	0.363117833960363
case	X488538	COVID19	-0.583885618722351	0.298930494043254	86	9	0.0656769847374095	0.363193725597874
case	X2116	COVID19	0.657378449757041	0.335282180535042	86	6	0.0665137306706425	0.365990975730003
case	X520	COVID19	-0.418071610737984	0.219838220760575	86	22	0.066848873741489	0.366014130485578
case	X2572923	Uninfected	-0.327887608362011	0.170984168817217	86	6	0.0676566716144258	0.368612210864803
case	X1378	Uninfected	-0.357155078039655	0.192034705617241	86	45	0.0685680529014277	0.37174640445578
case	X1427984	COVID19	0.764201742240019	0.397759722985851	86	5	0.0698689359812453	0.376951430220767
case	X177437	COVID19	-0.619904671285389	0.321631187589998	86	3	0.0718789890386095	0.384049091191798
case	X1648923	Uninfected	-0.40234567511774	0.215103589463215	86	9	0.0717608517231167	0.384049091191798
case	X2026	COVID19	0.55715903350854	0.292208281791575	86	12	0.0750396852231136	0.386487006322942
case	X29385	COVID19	0.413228354219011	0.219525329762178	86	5	0.0731026282030812	0.386487006322942
case	X83406	Uninfected	-0.864386605649197	0.43923241056225	86	1	0.0747932868865094	0.386487006322942
case	X264731	COVID19	0.323654818850625	0.176754348334742	86	41	0.0737114433604093	0.386487006322942
case	X573061	Uninfected	0.351739952263707	0.187625768867336	86	6	0.0741745686683565	0.386487006322942
case	X656366	COVID19	0.624844957575677	0.331869305286345	86	4	0.0751308375763404	0.386487006322942
case	X2082387	COVID19	0.545803753311585	0.290373660081312	86	7	0.0741019296376023	0.386487006322942
case	X2509675	Uninfected	-0.55020763450587	0.285427931429407	86	4	0.0730582231547485	0.386487006322942
case	X2116	Uninfected	0.620606397718497	0.328508104863425	86	6	0.0760507139621514	0.387670319364441
case	X680646	Uninfected	-0.747322499619527	0.407975331627619	86	21	0.0764124137626113	0.387670319364441
case	X2559074	COVID19	-0.503981169494825	0.273276138458315	86	8	0.0763776207242469	0.387670319364441
case	X135727	COVID19	-0.394077783889955	0.211053520412659	86	4	0.0773817414123123	0.389019118190988
case	X2651974	Uninfected	-0.480012577892991	0.261771910275986	86	17	0.0773481652784978	0.389019118190988
case	X520	Uninfected	-0.986850422909999	0.483206061825482	86	22	0.0784806051082904	0.391223251606881
case	X861299	Uninfected	-0.374064554575214	0.203557022997455	86	10	0.0785276327818513	0.391223251606881
case	X335929	COVID19	0.323358122039537	0.179226055608923	86	19	0.0793609954021379	0.392282939053165
case	X2014887	COVID19	-0.415520034035828	0.225425119843624	86	6	0.0794497091753245	0.392282939053165
case	X285	Uninfected	-0.340641250665146	0.188814639946094	86	20	0.0803924065893929	0.395173340834971
case	X165779	COVID19	0.390651231321245	0.216620917193627	86	22	0.0820991236011543	0.400007183713113
case	X424800	Uninfected	-0.42565871243809	0.231949659526209	86	24	0.0820415933091512	0.400007183713113
case	X234267	COVID19	-0.423541372498049	0.235210885640144	86	9	0.0825338498124513	0.40036156970426
case	X637380	Uninfected	-0.627089105824965	0.346696636986251	86	13	0.0848519535806187	0.407346147156562
case	X1074311	COVID19	0.431342578338632	0.237739319746698	86	6	0.0854469314107797	0.407346147156562
case	X1199245	COVID19	-0.501488594625187	0.278934057641822	86	13	0.0853381934930423	0.407346147156562
case	X2382161	Uninfected	0.564745808884251	0.306136912162295	86	3	0.0849113886592988	0.407346147156562
case	X81	Uninfected	-0.470689532272044	0.264508036899078	86	17	0.0872205114897341	0.410357692249748
case	X33958	COVID19	0.74130933013975	0.417951457273271	86	13	0.0882607816409156	0.410357692249748
case	X269798	Uninfected	-0.423748668645697	0.239096978078676	86	17	0.0871373510808364	0.410357692249748
case	X335928	Uninfected	-0.381250154773303	0.216407171058519	86	20	0.0883048198512116	0.410357692249748
case	X2036206	Uninfected	-0.423288638318165	0.239209399152693	86	19	0.0872609714183072	0.410357692249748
case	X2170745	Uninfected	-0.598084780313935	0.338120855821862	86	16	0.0882163244911341	0.410357692249748
case	X590	Uninfected	-0.345587572403495	0.200818015520199	86	20	0.0931948035963625	0.41995340408642
case	X964	COVID19	-0.213767463011351	0.122777711490833	86	25	0.0924984717295471	0.41995340408642
case	X237258	COVID19	-0.402014840428718	0.23147708679148	86	14	0.0923627060921829	0.41995340408642
case	X240016	Uninfected	-0.529638953024799	0.299856913980765	86	11	0.0934073575092761	0.41995340408642
case	X255247	COVID19	0.411005705599618	0.233019324076282	86	3	0.0930322497878945	0.41995340408642
case	X260554	Uninfected	-0.455988068024168	0.257932082581308	86	14	0.0919113106547545	0.41995340408642
case	X1510150	Uninfected	-0.585718727205662	0.318550926622025	86	5	0.0908244338621217	0.41995340408642
case	X2599640	COVID19	-0.569610038717995	0.321950054512633	86	7	0.0917542254956736	0.41995340408642
case	X582	Uninfected	-0.338698879594027	0.194780751285177	86	18	0.0943974050410401	0.422057254119349
case	X80869	Uninfected	-0.52957162660331	0.306308843563823	86	17	0.0950201232149349	0.422057254119349
case	X2060312	Uninfected	-0.480309804067352	0.27002830735847	86	7	0.0947778897991274	0.422057254119349
case	X82985	Uninfected	-0.344190790696044	0.200702186272851	86	13	0.095459944772561	0.42231479567381
case	X39950	COVID19	0.37051342116363	0.217457543541684	86	27	0.0970292148846923	0.427547058416214
case	X592316	Uninfected	-0.37381432375637	0.219032213550051	86	11	0.0978845658852618	0.428737280550519
case	X2599297	COVID19	-0.275142481778726	0.161144999609712	86	13	0.0980746220427497	0.428737280550519
case	X1292	COVID19	0.294191912571425	0.171925944359897	86	15	0.0989984130638637	0.430477057788333
