feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1360	case	COVID19	5.07529061834326	0.680751711061301	86	23	6.36892058759634e-07	0.000234800872329385
X34072	case	Uninfected	-3.34790597913716	0.572727013874338	86	55	3.55380888923346e-07	0.000234800872329385
X2126319	case	Uninfected	-4.06192885944391	0.701614097688079	86	50	6.1988125730049e-07	0.000234800872329385
X663243	case	Uninfected	-3.10993803473871	0.585365492890599	86	53	2.5738237510399e-06	0.000711662267162533
X436515	case	Uninfected	-3.79802530956199	0.742437753497306	86	41	1.01313611085117e-05	0.00224105707720279
X2696063	case	COVID19	3.37415043304213	0.708749303323181	86	38	3.29953144303954e-05	0.00608213629333622
X964	case	Uninfected	-2.63608120889072	0.562536439810636	86	34	6.02857593107887e-05	0.00666760497977323
X93973	case	Uninfected	-1.59479945277211	0.303792090904939	86	31	4.78673806711647e-05	0.00666760497977323
X2202826	case	Uninfected	-2.09869609990042	0.462952729540494	86	41	5.63749925877047e-05	0.00666760497977323
X2509614	case	COVID19	-2.3384588893323	0.514571395618408	86	42	5.20961432876226e-05	0.00666760497977323
X1528098	case	COVID19	-2.87860062984817	0.544624599885581	86	20	6.7955976734772e-05	0.00683266456987798
X329	case	Uninfected	-2.21508826753344	0.51042988630204	86	45	0.00010901353078639	0.00771684372734976
X338969	case	Uninfected	-2.8694299206711	0.648390077661436	86	37	9.41971254267092e-05	0.00771684372734976
X908290	case	Uninfected	-2.7166399550379	0.59242655076948	86	31	8.60438023910486e-05	0.00771684372734976
X2014887	case	Uninfected	-3.77867963437572	0.79760146029958	86	24	0.000111636075621696	0.00771684372734976
X2067957	case	Uninfected	-2.26434839922421	0.535281182091923	86	54	0.000100098902704901	0.00771684372734976
X402626	case	COVID19	-2.5352658979851	0.591303335172135	86	39	0.000129338928264729	0.00795402451392672
X946333	case	Uninfected	-2.2802317872489	0.526367073907822	86	35	0.000136642374109049	0.00795402451392672
X2116657	case	Uninfected	-3.34939113815751	0.783181560249427	86	39	0.000133450193051967	0.00795402451392672
X2603276	case	COVID19	-2.55050919351367	0.612767901932725	86	44	0.000157486644670667	0.00870901145028788
X742013	case	COVID19	2.20390315714669	0.514674581930641	86	34	0.000165809291233864	0.00873262267165019
X573061	case	COVID19	3.28636007852292	0.729109213172765	86	25	0.00017470185681929	0.00878273880191522
X1849491	case	COVID19	2.47705171796927	0.597517126543212	86	37	0.000214038245041085	0.01029244778328
X1229205	case	COVID19	-2.3547109813731	0.546706198278489	86	28	0.000224445534970431	0.0103431984032207
X624	case	Uninfected	-1.74315161720719	0.43107491946033	86	38	0.000281295084655284	0.0124444945451498
X2202826	case	COVID19	-1.69238403766377	0.427234980621263	86	41	0.000316744277611146	0.0134738142706895
X426355	case	Uninfected	-2.18770144517664	0.547897447824397	86	34	0.000389506860055946	0.0154191281543836
X2599600	case	Uninfected	-2.34717924368106	0.540227402557284	86	21	0.000390357674794522	0.0154191281543836
X32011	case	Uninfected	-2.39853121121192	0.609120368744839	86	38	0.000420467196653212	0.0160357489482225
X1768	case	Uninfected	-2.4620104715308	0.621242865824818	86	27	0.000580782522356633	0.0210204078245693
