feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1360	case	COVID19	5.07529061834326	0.680751711061301	86	23	6.36892058759634e-07	0.000234800872329385
X34072	case	Uninfected	-3.34790597913716	0.572727013874338	86	55	3.55380888923346e-07	0.000234800872329385
X2126319	case	Uninfected	-4.06192885944391	0.701614097688079	86	50	6.1988125730049e-07	0.000234800872329385
X663243	case	Uninfected	-3.10993803473871	0.585365492890599	86	53	2.5738237510399e-06	0.000711662267162533
X436515	case	Uninfected	-3.79802530956199	0.742437753497306	86	41	1.01313611085117e-05	0.00224105707720279
X2696063	case	COVID19	3.37415043304213	0.708749303323181	86	38	3.29953144303954e-05	0.00608213629333622
X964	case	Uninfected	-2.63608120889072	0.562536439810636	86	34	6.02857593107887e-05	0.00666760497977323
X93973	case	Uninfected	-1.59479945277211	0.303792090904939	86	31	4.78673806711647e-05	0.00666760497977323
X2202826	case	Uninfected	-2.09869609990042	0.462952729540494	86	41	5.63749925877047e-05	0.00666760497977323
X2509614	case	COVID19	-2.3384588893323	0.514571395618408	86	42	5.20961432876226e-05	0.00666760497977323
X1528098	case	COVID19	-2.87860062984817	0.544624599885581	86	20	6.7955976734772e-05	0.00683266456987798
X329	case	Uninfected	-2.21508826753344	0.51042988630204	86	45	0.00010901353078639	0.00771684372734976
X338969	case	Uninfected	-2.8694299206711	0.648390077661436	86	37	9.41971254267092e-05	0.00771684372734976
X908290	case	Uninfected	-2.7166399550379	0.59242655076948	86	31	8.60438023910486e-05	0.00771684372734976
X2014887	case	Uninfected	-3.77867963437572	0.79760146029958	86	24	0.000111636075621696	0.00771684372734976
X2067957	case	Uninfected	-2.26434839922421	0.535281182091923	86	54	0.000100098902704901	0.00771684372734976
X402626	case	COVID19	-2.5352658979851	0.591303335172135	86	39	0.000129338928264729	0.00795402451392672
X946333	case	Uninfected	-2.2802317872489	0.526367073907822	86	35	0.000136642374109049	0.00795402451392672
X2116657	case	Uninfected	-3.34939113815751	0.783181560249427	86	39	0.000133450193051967	0.00795402451392672
X2603276	case	COVID19	-2.55050919351367	0.612767901932725	86	44	0.000157486644670667	0.00870901145028788
X742013	case	COVID19	2.20390315714669	0.514674581930641	86	34	0.000165809291233864	0.00873262267165019
X573061	case	COVID19	3.28636007852292	0.729109213172765	86	25	0.00017470185681929	0.00878273880191522
X1849491	case	COVID19	2.47705171796927	0.597517126543212	86	37	0.000214038245041085	0.01029244778328
X1229205	case	COVID19	-2.3547109813731	0.546706198278489	86	28	0.000224445534970431	0.0103431984032207
X624	case	Uninfected	-1.74315161720719	0.43107491946033	86	38	0.000281295084655284	0.0124444945451498
X2202826	case	COVID19	-1.69238403766377	0.427234980621263	86	41	0.000316744277611146	0.0134738142706895
X426355	case	Uninfected	-2.18770144517664	0.547897447824397	86	34	0.000389506860055946	0.0154191281543836
X2599600	case	Uninfected	-2.34717924368106	0.540227402557284	86	21	0.000390357674794522	0.0154191281543836
X32011	case	Uninfected	-2.39853121121192	0.609120368744839	86	38	0.000420467196653212	0.0160357489482225
X1768	case	Uninfected	-2.4620104715308	0.621242865824818	86	27	0.000580782522356633	0.0210204078245693
X2638319	case	COVID19	-1.63527265749645	0.436126912478873	86	41	0.000589179604486118	0.0210204078245693
X13689	case	COVID19	-3.7431640811865	0.958582452151287	86	26	0.000741478068421516	0.0254807616571668
X231049	case	COVID19	2.80319207332184	0.722227830776063	86	26	0.000760275890313296	0.0254807616571668
X766	case	COVID19	-2.00820667554259	0.538121728566278	86	33	0.000793272747960224	0.0258046958601179
X1660	case	COVID19	1.7474986091017	0.488680809679345	86	55	0.000851565519046882	0.0266750764051598
X28188	case	COVID19	3.06284525504539	0.806255270300149	86	27	0.000874557405220602	0.0266750764051598
X159087	case	COVID19	3.61738652881748	0.953106336000231	86	27	0.000892385015362488	0.0266750764051598
X946483	case	Uninfected	-2.99652130508275	0.836093399492543	86	42	0.000951790634104399	0.027702116876828
X2603276	case	Uninfected	-2.83984007183644	0.805907380247748	86	44	0.00106080837935357	0.030083437629873
X748678	case	Uninfected	-2.6010736799324	0.715182645477114	86	28	0.00125051799627391	0.0345768225969737
X1123519	case	COVID19	-2.49587703006104	0.686348782345145	86	28	0.00132165242972133	0.0356523801773607
X1697053	case	Uninfected	3.67389254769977	0.992049693982189	86	23	0.00140625347498039	0.037031341507817
X2057025	case	COVID19	2.05366540571797	0.598710776114365	86	38	0.00156297271256764	0.0402011120953445
X1392005	case	COVID19	-1.39552408583977	0.415578307587031	86	48	0.00160956253664724	0.0404585492166328
X881260	case	Uninfected	-2.83263542044506	0.824769954490949	86	36	0.00178570359571674	0.0429345255839721
X1246301	case	Uninfected	-2.48707128235568	0.746757699490041	86	50	0.00175207012045023	0.0429345255839721
X43662	case	Uninfected	-2.41131897014425	0.690042139839093	86	27	0.00188274717467395	0.0430434074228937
X186801	case	COVID19	1.72693313613014	0.520555366046329	86	45	0.00188197169919832	0.0430434074228937
X2509614	case	Uninfected	-2.63347747507182	0.790861610743869	86	42	0.00190698640481175	0.0430434074228937
X413882	case	Uninfected	-2.35189574583707	0.70993983329667	86	37	0.00219894844223321	0.048469874058928
X1844971	case	COVID19	-1.44125694432617	0.436859691292162	86	38	0.00223504844213863	0.048469874058928
X85015	case	Uninfected	-1.86077135316693	0.575222896002638	86	47	0.0023239246818784	0.049428090349183
