feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X32011	case	COVID19	4.15771439634962	0.664398718956048	86	38	4.30701724187131e-07	0.000158785368983656
X34072	case	Community Acquired Pneumonia	3.34790597913491	0.572727013874427	86	55	3.55380888992465e-07	0.000158785368983656
X2126319	case	COVID19	4.13200787004586	0.695581917504492	86	50	3.34693761529017e-07	0.000158785368983656
X2126319	case	Community Acquired Pneumonia	4.06192885944392	0.701614097687031	86	50	6.19881257397782e-07	0.000171397167670487
X93973	case	COVID19	2.08177029927927	0.330996220846842	86	31	1.69189549413054e-06	0.000374247283301675
X663243	case	Community Acquired Pneumonia	3.10993803473878	0.585365492890596	86	53	2.57382375132859e-06	0.000474441511494903
X34072	case	COVID19	2.95639325276958	0.577032654520289	86	55	4.46587570838916e-06	0.000705608361925488
X436515	case	COVID19	3.92004377077825	0.7441265724531	86	41	6.02080154071284e-06	0.000739889611558712
X663243	case	COVID19	2.9924779591042	0.589511963047054	86	53	5.71042906541089e-06	0.000739889611558712
X2303331	case	COVID19	2.39122170707708	0.445035892398738	86	36	6.98353625415639e-06	0.000772379109709696
X436515	case	Community Acquired Pneumonia	3.79802530956199	0.742437753501893	86	41	1.01313611074099e-05	0.00101866230770867
X1360	case	COVID19	2.97130310518427	0.508242003871827	86	23	1.13098026232694e-05	0.00104238680844466
X338969	case	COVID19	3.05193417686397	0.638242501851567	86	37	3.28934135090171e-05	0.00279847041084407
X93973	case	Community Acquired Pneumonia	1.59479945271119	0.303792090926374	86	31	4.78673804810093e-05	0.00364005334224776
X1813871	case	COVID19	2.58943710410223	0.570265795403435	86	44	4.93678120558014e-05	0.00364005334224776
X624	case	COVID19	2.02393718615539	0.444612816137289	86	38	6.17032854646807e-05	0.00379132409577427
X964	case	Community Acquired Pneumonia	2.63608120888289	0.562536439811962	86	34	6.02857593177158e-05	0.00379132409577427
X2202826	case	Community Acquired Pneumonia	2.09869609990042	0.462952729540494	86	41	5.63749925873976e-05	0.00379132409577427
X908290	case	Community Acquired Pneumonia	2.7166399550379	0.59242655076948	86	31	8.60438023906691e-05	0.00500865502337263
X329	case	Community Acquired Pneumonia	2.21508826748901	0.510429886298356	86	45	0.000109013530777923	0.00514456248489979
X338969	case	Community Acquired Pneumonia	2.8694299206711	0.648390077661436	86	37	9.4197125426709e-05	0.00514456248489979
X2014887	case	Community Acquired Pneumonia	3.77867963437572	0.79760146029958	86	24	0.000111636075621695	0.00514456248489979
X2067957	case	Community Acquired Pneumonia	2.2643483992197	0.535281182092307	86	54	0.000100098902695686	0.00514456248489979
X2529408	case	COVID19	2.2393894737197	0.490656508275823	86	45	0.000109510876088808	0.00514456248489979
X946333	case	Community Acquired Pneumonia	2.2802317872489	0.526367073907822	86	35	0.000136642374109049	0.00581255637556184
X2116657	case	Community Acquired Pneumonia	3.34939113815752	0.783181560249427	86	39	0.000133450193051936	0.00581255637556184
X1246301	case	COVID19	3.17032411687862	0.766413988961424	86	50	0.000149057966905232	0.00610585597767356
X2067957	case	COVID19	2.26643126144287	0.566692091616831	86	54	0.000206940418729296	0.00817414653980718
X1349819	case	COVID19	2.51520813737421	0.603647925247698	86	34	0.000230908007636344	0.00880635367054472
X1243	case	COVID19	2.44225705248083	0.613468137763447	86	46	0.000260175086204359	0.00935371807796701
