feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X434	Community.Acquired.Pneumonia	TRUE	7.36509081598472	1.12546426119573	86	46	7.24418883863349e-09	8.20042176533311e-06
X395495	Uninfected	TRUE	-6.91491485609888	1.2863195830631	86	56	9.09464364610054e-07	0.00051475683036929
X1223566	Uninfected	TRUE	8.86831900672748	1.49771572127762	86	48	1.64176397592252e-06	0.000619492273581429
X375	Uninfected	TRUE	8.41612823870711	1.61252616448703	86	49	2.41722670073789e-06	0.000620057634430773
X414684	Community.Acquired.Pneumonia	TRUE	7.11034366202391	1.30605148898564	86	46	3.28652456412071e-06	0.000620057634430773
X2126319	Uninfected	TRUE	-7.61102468108467	1.46024301020655	86	55	2.9559644455912e-06	0.000620057634430773
X32207	Uninfected	TRUE	-9.12504228543229	1.85756234976579	86	60	5.7921320472521e-06	0.000936670496784197
X663243	Uninfected	TRUE	-5.72719306212039	1.19315884661343	86	61	8.31192625514418e-06	0.0011761375651029
X266940	Community.Acquired.Pneumonia	TRUE	-7.83183826880846	1.6977572645886	86	50	1.70245924628398e-05	0.00194446094951259
X1034889	Uninfected	TRUE	-6.94966164677288	1.46052597043797	86	56	1.71772168684858e-05	0.00194446094951259
X2609248	Uninfected	TRUE	-4.65007788265395	1.0305853245789	86	52	2.94727139071876e-05	0.0030330101948124
X436515	Uninfected	TRUE	-7.06754245576152	1.56717344912103	86	49	3.68871005604636e-05	0.0034796831528704
X2049	Uninfected	TRUE	-6.47171055954564	1.48385515623366	86	63	4.49984525638493e-05	0.00363844630730553
X2603276	Community.Acquired.Pneumonia	TRUE	6.34815924041929	1.456735492065	86	56	4.24530525195675e-05	0.00363844630730553
X1246301	Uninfected	TRUE	-6.24268424026447	1.31669573449334	86	60	9.72291467664153e-05	0.00733755960930547
X282217	Uninfected	TRUE	-7.41949606200283	1.7707023651403	86	46	0.000120196233947618	0.00800365510757081
X1608628	Community.Acquired.Pneumonia	TRUE	4.12880129212007	1.01475792502368	86	45	0.000118739779449159	0.00800365510757081
X33958	Uninfected	TRUE	-5.185184098829	1.21658413212504	86	46	0.000152427289309163	0.00958598286099845
X76831	Uninfected	TRUE	6.99087101523127	1.71716410505641	86	50	0.000168414763245363	0.0100339743154606
X2599297	Uninfected	TRUE	-5.5908941132296	1.44043701509803	86	47	0.000230527490448745	0.013047855959399
X1663	Uninfected	TRUE	-4.87894346526685	1.18267378794605	86	47	0.000242155809337824	0.0130533512462103
X929713	Uninfected	TRUE	-6.60812649622036	1.62180695227518	86	45	0.000275087141662263	0.0141544838346219
X33958	Community.Acquired.Pneumonia	TRUE	-4.78420193108157	1.23381397605078	86	46	0.0003111152144864	0.0148528232594502
X46170	Uninfected	TRUE	-4.18029188257834	0.977812544505133	86	60	0.00031490084649011	0.0148528232594502
X1599	Uninfected	TRUE	-4.34779744040848	1.15440909077453	86	49	0.000380195436642162	0.0172152493711571
X81	Community.Acquired.Pneumonia	TRUE	4.91362241563395	1.27028120029868	86	44	0.000402443143887726	0.0175217553415733
X376	Uninfected	TRUE	7.8197037315564	2.04421463879003	86	44	0.000435797716508279	0.0182712227810138
