feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1360	case	Community Acquired Pneumonia	-4.98912803878034	0.775467743265387	86	23	2.86981876205205e-05	0.00912602366332551
X34072	case	Uninfected	-2.9008557230303	0.601276209028465	86	55	1.74820325311925e-05	0.00912602366332551
X2126319	case	Uninfected	-3.88198546017913	0.758596811571526	86	50	2.74152015735683e-05	0.00912602366332551
X93973	case	Uninfected	-1.97504063932484	0.393996575939352	86	31	4.60472623679749e-05	0.010982272074762
X32011	case	Uninfected	-3.95216941581815	0.857483997911133	86	38	7.83144094543993e-05	0.0137957535843423
X338969	case	Uninfected	-3.01744876147906	0.654991793483303	86	37	0.000100161540121941	0.0137957535843423
X2509614	case	Community Acquired Pneumonia	2.27864765087247	0.522666825321697	86	42	0.000101226703449052	0.0137957535843423
X402626	case	Community Acquired Pneumonia	2.53526589985999	0.591303335189392	86	39	0.000129338927075472	0.01542366705375
X436515	case	Uninfected	-3.80201375834682	0.887658724746891	86	41	0.000166626011849823	0.0158961215304732
X2696063	case	Community Acquired Pneumonia	-3.333075448409	0.769676984495041	86	38	0.000157766220543855	0.0158961215304732
X663243	case	Uninfected	-2.63198407856553	0.651350330161725	86	53	0.000222171617568103	0.0192683384690882
X135727	case	Uninfected	2.6378874032741	0.590067463477858	86	22	0.000262174738170866	0.0208428916845839
X1229205	case	Community Acquired Pneumonia	2.62335013114954	0.609310083214002	86	28	0.000294823493936141	0.0216355087088522
X2303331	case	Uninfected	-2.29094110969829	0.504743773520738	86	36	0.000331736545189043	0.0226054760078819
X2603276	case	Community Acquired Pneumonia	2.53821170420678	0.647202858225297	86	44	0.00041564998558501	0.0264353390832066
X1360	case	Uninfected	-2.87326368339232	0.605230083149855	86	23	0.000472717324097606	0.026527783952301
X742013	case	Community Acquired Pneumonia	-2.17224154764574	0.548639166164628	86	34	0.000452402951580242	0.026527783952301
X1243	case	Uninfected	-2.42162253968017	0.642330773084952	86	46	0.000733235395979783	0.0372300498153913
X13689	case	Community Acquired Pneumonia	3.7431637218735	0.958582481522608	86	26	0.000741478979551818	0.0372300498153913
X766	case	Community Acquired Pneumonia	2.00820667554258	0.538121728566277	86	33	0.000793272747949656	0.0378391100771986
X2202826	case	Community Acquired Pneumonia	1.59867122595538	0.441119481741066	86	41	0.00089335881545199	0.0405840147591047
X624	case	Uninfected	-1.80955461749485	0.491746041714773	86	38	0.000936500191318363	0.0406100537508054
X853	case	Uninfected	-1.96575932371943	0.542697028369114	86	43	0.00111729658530898	0.0463435192341205
X2638319	case	Community Acquired Pneumonia	1.68845433108214	0.474271903715	86	41	0.00117420854512073	0.0466747896685492
X1123519	case	Community Acquired Pneumonia	2.88723966050304	0.780855973293547	86	28	0.00130392068678305	0.0497576134076411
X43662	case	Uninfected	-2.62177871569825	0.715915987855452	86	27	0.00158068353724209	0.0517841394404985
X59814	case	Community Acquired Pneumonia	2.20819155438346	0.580174051495678	86	24	0.00149695534789381	0.0517841394404985
X748678	case	Uninfected	-2.77099085334484	0.763336638053341	86	28	0.00160167559686238	0.0517841394404985
X1392005	case	Community Acquired Pneumonia	1.3955244035672	0.415578315171633	86	48	0.00160955927123968	0.0517841394404985
X1812935	case	Uninfected	-2.66974054865643	0.744952521485464	86	34	0.00162843205787731	0.0517841394404985
X54736	case	Uninfected	-2.53213310200345	0.729313468337888	86	35	0.00176704440778759	0.0526800114071677
X1813871	case	Uninfected	-2.25559205002103	0.657538889501504	86	44	0.00173860283872865	0.0526800114071677
X356322	case	Uninfected	-1.99560742353612	0.591235310682147	86	40	0.00190635329794023	0.0551109407949995
X53335	case	Community Acquired Pneumonia	2.44962123331364	0.702027915592164	86	27	0.00208392109875793	0.0568017350918589
X2067957	case	Uninfected	-2.18949240097548	0.666885372744826	86	54	0.00203083064973639	0.0568017350918589
X1246301	case	Uninfected	-2.9377151862605	0.893734718785661	86	50	0.00215753845084497	0.0571747689473918
X1768	case	Uninfected	-2.20963055836808	0.639716163156166	86	27	0.00237408346833243	0.0612128548321388
X2057025	case	Community Acquired Pneumonia	-2.05800507665852	0.625289063374374	86	38	0.00264761823134597	0.06476481519754
X2529408	case	Uninfected	-1.93075009514684	0.545387218306112	86	45	0.00258674367736388	0.06476481519754
X1613	case	Uninfected	-2.43086341280317	0.730537151573162	86	38	0.00278224719408985	0.0656438615019806
X13689	case	Uninfected	3.18079694721721	0.952618550105696	86	26	0.00288998132398657	0.0656438615019806
X881260	case	Uninfected	-2.76485425982236	0.849756486748858	86	36	0.00286727926485126	0.0656438615019806
X231049	case	Community Acquired Pneumonia	-2.62128061803624	0.767626858016239	86	26	0.0031289431619758	0.0694188785238352
X1661	case	Uninfected	2.36312365035457	0.673059031942811	86	18	0.00340536653401948	0.0726559845728518
X159087	case	Community Acquired Pneumonia	-3.32027141381836	0.99981227110241	86	27	0.00348235769897788	0.0726559845728518
X742013	case	Uninfected	-1.98033049909138	0.622611150274456	86	34	0.00350332839659453	0.0726559845728518
X908290	case	Community Acquired Pneumonia	1.96787276288016	0.619995853108341	86	31	0.00363628607615889	0.0738088705671401
X983917	case	Community Acquired Pneumonia	-1.42670688311316	0.459833768087996	86	40	0.00378415735541571	0.0751815153632329
X1849491	case	Community Acquired Pneumonia	-2.16236860300035	0.68009417862792	86	37	0.00386152437400253	0.0751815153632329
X28188	case	Community Acquired Pneumonia	-2.97478169495108	0.924336134499246	86	27	0.00409178807813237	0.0780713165307655
X1599	case	Uninfected	-2.10787905202816	0.660867576557173	86	30	0.00425245980218988	0.0795460127703753
X224471	case	Community Acquired Pneumonia	1.13282822368615	0.378818073577945	86	53	0.00457386004788391	0.0807167538544728
X1784714	case	Uninfected	-1.66147493077539	0.52444401961574	86	25	0.00445451182964953	0.0807167538544728
X2057025	case	Uninfected	-1.79597439014795	0.583774971823968	86	38	0.00465348161634801	0.0807167538544728
X2587161	case	Uninfected	-1.80069337769194	0.576166072626236	86	32	0.00457006860098509	0.0807167538544728
X1844971	case	Community Acquired Pneumonia	1.62277273985143	0.487153384859342	86	38	0.00517920431790083	0.0882314449870963
X1599	case	Community Acquired Pneumonia	-2.35863074910903	0.768975359061596	86	30	0.00559676275610423	0.0910786793142709
X1219032	case	Uninfected	-2.09182734607354	0.657408213896786	86	46	0.0056327485110503	0.0910786793142709
X2664291	case	Uninfected	-2.59976741263743	0.860756216168005	86	37	0.00553555613346558	0.0910786793142709
X1292	case	Uninfected	-1.77667561100877	0.595816445517379	86	29	0.00615314126019726	0.0953662718394054
X946333	case	Uninfected	-1.57715010571113	0.531918446396603	86	35	0.00619780802310601	0.0953662718394054
X2587161	case	Community Acquired Pneumonia	-1.97107859920973	0.656969379684369	86	32	0.00612790323701295	0.0953662718394054
X2052837	case	Uninfected	2.78528216427936	0.914497377995077	86	27	0.0063032140517841	0.0954486699270163
X1349819	case	Uninfected	-2.32879960160155	0.787355704377649	86	34	0.00674946173780904	0.100609164029216
X186801	case	Community Acquired Pneumonia	-1.64618763887209	0.57613050574398	86	45	0.00703906187323107	0.103311769647115
X292	case	Community Acquired Pneumonia	1.77623449564999	0.630506981268017	86	41	0.00764511444786025	0.110506654291798
X357809	case	Uninfected	-1.76389288235223	0.597276735549062	86	32	0.00794296870822464	0.111459959104926
X1160717	case	Uninfected	-2.6538108877004	0.913324773587041	86	32	0.00794473503053983	0.111459959104926
X2666025	case	Uninfected	-1.788900376884	0.625034504379833	86	33	0.00820529574342386	0.113447132452556
X1678128	case	Uninfected	-2.06203722221026	0.735709066125277	86	40	0.00870554512863497	0.118644143610254
X338	case	Uninfected	-1.48935527213979	0.544855543533933	86	38	0.0100078567821631	0.132210623074703
X80811	case	Uninfected	2.2175595228392	0.751667278595525	86	20	0.0100155544717652	0.132210623074703
X864051	case	Uninfected	-2.828200995745	1.02488343326378	86	34	0.0101167457908316	0.132210623074703
X669502	case	Community Acquired Pneumonia	1.83296966717403	0.685445711192951	86	40	0.0111128835978973	0.141394508560896
X1784714	case	Community Acquired Pneumonia	-1.63396738142001	0.589424193289168	86	25	0.0111159204843472	0.141394508560896
X329	case	Uninfected	-1.54345916454405	0.559188965144747	86	45	0.0113320727940992	0.14224733481014
X669502	case	Uninfected	1.78093004468148	0.666212215034275	86	40	0.0115645993972351	0.143280880843667
X31953	case	Uninfected	1.90966727347518	0.703119765791942	86	34	0.0124302094761332	0.152031023592707
X1129771	case	Community Acquired Pneumonia	-2.34797396190667	0.870543454108222	86	32	0.0130523926296692	0.157620032515246
X1345	case	Uninfected	-2.06639572240952	0.770106226688065	86	32	0.0133947139026712	0.159731963289354
X169427	case	Community Acquired Pneumonia	-2.71918479524432	0.965331172932328	86	18	0.0137647134066683	0.162117735678537
X2594473	case	Uninfected	-1.89139712079061	0.708387667696171	86	34	0.0139480838684688	0.162274048908771
X964	case	Uninfected	-1.82800798779818	0.698718533812791	86	34	0.0145036606029775	0.164976518151903
X1243	case	Community Acquired Pneumonia	-1.74092217859675	0.67014003432897	86	46	0.0145262343026833	0.164976518151903
X13373	case	Community Acquired Pneumonia	1.21011248878183	0.47338284541355	86	48	0.0154179126498444	0.171031263580832
X1852377	case	Community Acquired Pneumonia	-1.94649324810206	0.735390113184995	86	29	0.0152649091406866	0.171031263580832
X477641	case	Uninfected	2.05112424961424	0.795014420653072	86	28	0.017020665700339	0.186614124365715
X946483	case	Uninfected	-2.33406731859845	0.925173561580836	86	42	0.0172138814928542	0.186614124365715
X515620	case	Uninfected	-1.49747949022766	0.599866963451638	86	42	0.0176329897894269	0.189009800664194
X592316	case	Uninfected	-2.00405855869756	0.794369069638774	86	34	0.0182957590626639	0.192837570557339
X2547399	case	Community Acquired Pneumonia	1.53793576728306	0.603774636449939	86	36	0.0183943594556791	0.192837570557339
X1660	case	Community Acquired Pneumonia	-1.54306639138764	0.578802924875274	86	55	0.0189956846151273	0.196976990465559
X553	case	Uninfected	-1.21550428339458	0.486796641097086	86	26	0.0201292867899251	0.200429228006225
X1661	case	Community Acquired Pneumonia	2.69549554808041	1.02852937864884	86	18	0.0199824843585603	0.200429228006225
X51669	case	Community Acquired Pneumonia	-3.52572076016602	1.3529625296476	86	21	0.020085007055339	0.200429228006225
X413882	case	Uninfected	-1.89874315364344	0.775064624300195	86	37	0.0201689789188654	0.200429228006225
X2584122	case	Uninfected	2.4752136047654	0.946108059222878	86	16	0.0215731324445038	0.212172869608831
X28188	case	Uninfected	-1.97222086483	0.803689915764338	86	27	0.0229892283196912	0.217876437647123
X40041	case	Community Acquired Pneumonia	-1.71537134511796	0.674968639590148	86	28	0.0227468338617959	0.217876437647123
X637910	case	Uninfected	-1.99013869267012	0.826119431090514	86	34	0.0232949650314534	0.217876437647123
X1660158	case	Community Acquired Pneumonia	2.44479182645976	1.01689770193843	86	35	0.023003922002683	0.217876437647123
X2497456	case	Uninfected	-1.76412579524027	0.69742195476129	86	20	0.0231510803489913	0.217876437647123
X380021	case	Uninfected	-2.41552928241035	0.994692033768612	86	28	0.0236995804075062	0.219508735036514
X29494	case	Uninfected	-1.66979235746706	0.698822460941274	86	35	0.024824144578642	0.227713787769466
X46170	case	Community Acquired Pneumonia	-1.41650267077407	0.607713150977643	86	54	0.025158109468698	0.228579394601313
X63	case	Community Acquired Pneumonia	-2.0231692701607	0.835102984970687	86	23	0.0259091203887757	0.232131929204388
X106649	case	Uninfected	-1.93335603221886	0.808262710559854	86	25	0.0262119453824151	0.232131929204388
X1229205	case	Uninfected	1.70945564827482	0.71809517197313	86	28	0.0262790863250251	0.232131929204388
X620	case	Uninfected	-1.74078397893406	0.737880435440597	86	34	0.0276357654532263	0.236355880017351
X1398	case	Uninfected	-1.6187683553574	0.692827716905285	86	31	0.0277482794150349	0.236355880017351
X95485	case	Community Acquired Pneumonia	1.32281409655564	0.570066465413506	86	36	0.0273168195013221	0.236355880017351
X2086577	case	Uninfected	2.06119926881952	0.876703978334946	86	30	0.027739283209294	0.236355880017351
X1357	case	Community Acquired Pneumonia	-1.57337760660472	0.687349916195107	86	44	0.0295159148934431	0.239336069847812
X72274	case	Community Acquired Pneumonia	-1.45254608337307	0.638292420952149	86	44	0.0288656858711863	0.239336069847812
X85015	case	Uninfected	-1.52325477603202	0.672435879554297	86	47	0.0296034132516161	0.239336069847812
X313596	case	Uninfected	2.30654291047209	0.966493267172237	86	25	0.0288130865663096	0.239336069847812
X2027919	case	Uninfected	-1.87828679901306	0.818084432937932	86	41	0.0293161398451055	0.239336069847812
X2052837	case	Community Acquired Pneumonia	2.24817289331851	0.953361200044038	86	27	0.0285084408822995	0.239336069847812
X169427	case	Uninfected	-2.11228183343722	0.880976421399246	86	18	0.0310951240625122	0.249283599627199
X213	case	Uninfected	1.92351708723396	0.827837938024232	86	23	0.0321933470257857	0.249694740346338
X365044	case	Community Acquired Pneumonia	1.11335187737595	0.479783123509202	86	37	0.0321133151954521	0.249694740346338
X983917	case	Uninfected	-1.19190558458722	0.534078380201444	86	40	0.0321422095508144	0.249694740346338
X2116657	case	Uninfected	-1.90891732527912	0.848564194554528	86	39	0.0319750944053753	0.249694740346338
X2116657	case	Community Acquired Pneumonia	1.44047381287839	0.641284399354646	86	39	0.0325908815991684	0.250739524561344
X34038	case	Uninfected	1.60926264324171	0.693397706030228	86	23	0.0329823571163669	0.251721349512112
X83333	case	Uninfected	-1.56607592959403	0.708287282995252	86	41	0.0347750143832488	0.26329653747317
X1358	case	Uninfected	-1.15011682443853	0.524631800949619	86	35	0.0383074981243075	0.277192269674505
X66269	case	Uninfected	-1.63838421820306	0.752915818500504	86	42	0.03833220991385	0.277192269674505
X186801	case	Uninfected	-1.3279288301722	0.615836276367737	86	45	0.037756333083784	0.277192269674505
X282217	case	Uninfected	-2.47275708617077	1.11773831222262	86	32	0.0372915914299893	0.277192269674505
X426355	case	Community Acquired Pneumonia	1.86802631676773	0.854800449732055	86	34	0.0389347632456852	0.277192269674505
X680646	case	Uninfected	-3.02197115735112	1.37701941998151	86	35	0.0384464387755759	0.277192269674505
X696485	case	Community Acquired Pneumonia	-1.53335821666667	0.671064704756411	86	33	0.0387640771656344	0.277192269674505
X2233999	case	Uninfected	1.70507227865813	0.790887884012809	86	37	0.0387125738937955	0.277192269674505
X31953	case	Community Acquired Pneumonia	1.52266113899767	0.705809756952421	86	34	0.0405745459820228	0.286726791606295
X547	case	Community Acquired Pneumonia	1.77652004384897	0.829398564339321	86	36	0.0418971503965894	0.293896187340782
X434	case	Community Acquired Pneumonia	2.95955572122787	1.37648654995266	86	27	0.0424631363746104	0.29569220511955
X169679	case	Community Acquired Pneumonia	-1.89266239371195	0.892114614564663	86	30	0.0436402098005051	0.297376858212013
X1697053	case	Community Acquired Pneumonia	-1.630953664447	0.737926053496506	86	23	0.0436163144909585	0.297376858212013
X2696063	case	Uninfected	-1.55602980382817	0.726175182963335	86	38	0.043140882800814	0.297376858212013
X546	case	Uninfected	-1.4590134036072	0.694541069509518	86	36	0.045199479452801	0.300325780648972
X82985	case	Uninfected	-1.59705537091537	0.759019104992239	86	37	0.0451811081275744	0.300325780648972
X482957	case	Community Acquired Pneumonia	1.35933562333746	0.643440211370134	86	28	0.0455899398604705	0.300325780648972
X929713	case	Community Acquired Pneumonia	-1.66842329590258	0.778663435571589	86	30	0.0447476483895641	0.300325780648972
X1697053	case	Uninfected	2.04293888131051	0.939649373491045	86	23	0.0456470002034602	0.300325780648972
X53444	case	Uninfected	-1.91038317822511	0.896592335702685	86	25	0.0465947159609199	0.304461363196696
X32011	case	Community Acquired Pneumonia	-1.59212200520183	0.76541436293237	86	38	0.0470020534441489	0.305033734596721
X2049	case	Community Acquired Pneumonia	-1.0959475483469	0.537015214429117	86	50	0.0482395625741398	0.306997745137978
X47421	case	Uninfected	-2.07192148397491	0.999211808740763	86	33	0.0485918862849421	0.306997745137978
X138074	case	Community Acquired Pneumonia	-1.73943548789434	0.841209262111641	86	37	0.0477996059752023	0.306997745137978
X471854	case	Uninfected	2.30846240453268	1.07339665259185	86	20	0.0485445935346536	0.306997745137978
X1358	case	Community Acquired Pneumonia	-1.31185889555099	0.634822614123614	86	35	0.0497429177427607	0.310238453071911
X1123519	case	Uninfected	2.08355563708756	1.00501722993584	86	28	0.0497552236058725	0.310238453071911
X247	case	Uninfected	-1.17061722519216	0.558338276336388	86	32	0.0508746540368565	0.311912679844959
X696485	case	Uninfected	-1.6748728899898	0.804651499948152	86	33	0.0510045891570374	0.311912679844959
X2652307	case	Community Acquired Pneumonia	-2.09385365572087	0.914190390863639	86	26	0.0505311116184527	0.311912679844959
X231049	case	Uninfected	-1.75804747011239	0.837488327611144	86	26	0.051415870902596	0.312425100898577
X2036206	case	Uninfected	-1.53954982955056	0.747695281505418	86	33	0.0520892446907118	0.314513540727462
X2509675	case	Community Acquired Pneumonia	2.02074495560728	0.94421536946069	86	18	0.0529813202270436	0.317887921362261
X32012	case	Uninfected	-1.83716355545853	0.907144569953926	86	36	0.0546831156387709	0.323610813118954
X1218801	case	Community Acquired Pneumonia	-3.33910599592057	1.6097815447638	86	20	0.0549527795862374	0.323610813118954
