feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1360	case	Community Acquired Pneumonia	-4.98912803878034	0.775467743265387	86	23	2.86981876205205e-05	0.00912602366332551
X34072	case	Uninfected	-2.9008557230303	0.601276209028465	86	55	1.74820325311925e-05	0.00912602366332551
X2126319	case	Uninfected	-3.88198546017913	0.758596811571526	86	50	2.74152015735683e-05	0.00912602366332551
X93973	case	Uninfected	-1.97504063932484	0.393996575939352	86	31	4.60472623679749e-05	0.010982272074762
X32011	case	Uninfected	-3.95216941581815	0.857483997911133	86	38	7.83144094543993e-05	0.0137957535843423
X338969	case	Uninfected	-3.01744876147906	0.654991793483303	86	37	0.000100161540121941	0.0137957535843423
X2509614	case	Community Acquired Pneumonia	2.27864765087247	0.522666825321697	86	42	0.000101226703449052	0.0137957535843423
X402626	case	Community Acquired Pneumonia	2.53526589985999	0.591303335189392	86	39	0.000129338927075472	0.01542366705375
X436515	case	Uninfected	-3.80201375834682	0.887658724746891	86	41	0.000166626011849823	0.0158961215304732
X2696063	case	Community Acquired Pneumonia	-3.333075448409	0.769676984495041	86	38	0.000157766220543855	0.0158961215304732
X663243	case	Uninfected	-2.63198407856553	0.651350330161725	86	53	0.000222171617568103	0.0192683384690882
X135727	case	Uninfected	2.6378874032741	0.590067463477858	86	22	0.000262174738170866	0.0208428916845839
X1229205	case	Community Acquired Pneumonia	2.62335013114954	0.609310083214002	86	28	0.000294823493936141	0.0216355087088522
X2303331	case	Uninfected	-2.29094110969829	0.504743773520738	86	36	0.000331736545189043	0.0226054760078819
X2603276	case	Community Acquired Pneumonia	2.53821170420678	0.647202858225297	86	44	0.00041564998558501	0.0264353390832066
X1360	case	Uninfected	-2.87326368339232	0.605230083149855	86	23	0.000472717324097606	0.026527783952301
X742013	case	Community Acquired Pneumonia	-2.17224154764574	0.548639166164628	86	34	0.000452402951580242	0.026527783952301
X1243	case	Uninfected	-2.42162253968017	0.642330773084952	86	46	0.000733235395979783	0.0372300498153913
X13689	case	Community Acquired Pneumonia	3.7431637218735	0.958582481522608	86	26	0.000741478979551818	0.0372300498153913
X766	case	Community Acquired Pneumonia	2.00820667554258	0.538121728566277	86	33	0.000793272747949656	0.0378391100771986
X2202826	case	Community Acquired Pneumonia	1.59867122595538	0.441119481741066	86	41	0.00089335881545199	0.0405840147591047
X624	case	Uninfected	-1.80955461749485	0.491746041714773	86	38	0.000936500191318363	0.0406100537508054
X853	case	Uninfected	-1.96575932371943	0.542697028369114	86	43	0.00111729658530898	0.0463435192341205
X2638319	case	Community Acquired Pneumonia	1.68845433108214	0.474271903715	86	41	0.00117420854512073	0.0466747896685492
X1123519	case	Community Acquired Pneumonia	2.88723966050304	0.780855973293547	86	28	0.00130392068678305	0.0497576134076411
