"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"	"OTU"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"case"	"COVID19"	0.519858674	0.15670278	86	24	0.001881972	0.049936435	"186801"	"Bacteria"	"Firmicutes"	"Clostridia"	NA	NA	NA	NA
"case"	"Uninfected"	-0.792755713	0.238073067	86	25	0.001906986	0.049936435	"2509614"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	"Rhodoferax sediminis"
"case"	"Uninfected"	-0.823490289	0.235539098	86	17	0.001649552	0.046269579	"81"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	NA
"case"	"COVID19"	-0.544122976	0.149320633	86	11	0.001516911	0.046269579	"59814"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Pantoea"	"Pantoea dispersa"
"case"	"COVID19"	1.027104847	0.289099117	86	12	0.001616554	0.046269579	"159087"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas aromatica"
"case"	"COVID19"	0.776878758	0.218515392	86	12	0.001684772	0.046269579	"231049"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Furfurilactobacillus"	"Lactobacillus rossiae"
"case"	"COVID19"	0.618214888	0.180229902	86	17	0.001562973	0.046269579	"2057025"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Spirosoma"	"Spirosoma pollinicola"
"case"	"Uninfected"	-0.913025879	0.242076107	86	8	0.001669696	0.046269579	"2486578"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	NA	NA	"Rickettsiales endosymbiont of Stachyamoeba lipophora"
"case"	"Uninfected"	1.105951858	0.298636715	86	9	0.001406253	0.045241183	"1697053"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Oblitimonas"	"Oblitimonas alkaliphila"
"case"	"COVID19"	0.467359684	0.137061727	86	43	0.001263817	0.041854661	"1660"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Schaalia"	"Schaalia odontolytica"
"case"	"Uninfected"	-0.783001199	0.215291429	86	12	0.001250518	0.041854661	"748678"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Yersinia"	"Yersinia pestis"
