taxon_id	otu_id	domain	phylum	class	order	family	genus	species	treatment_1	treatment_2	log2_median_ratio	median_diff	mean_diff	wilcox_p_value
ace	63	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla filiformis	COVID_19	Community_acquired_pneumonia	-0.991449365852866	-0.228370496773556	-0.206527870722153	0.00230731058915883
ace	63	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla filiformis	COVID_19	Healthy	0.27781355883025	0.0404797606020163	-0.111994760553221	0.959676449897836
ace	63	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla filiformis	Community_acquired_pneumonia	Healthy	1.26926292468312	0.268850257375573	0.0945331101689312	0.0794332286314382
aau	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	COVID_19	Community_acquired_pneumonia	-1.67777261355745	-4.94349775131966	-4.7047656700976	7.47916887015972e-11
aau	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	COVID_19	Healthy	-0.6932601823458	-1.38669496600431	-1.95505285502809	0.0154294579241524
aau	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	Community_acquired_pneumonia	Healthy	0.984512431211648	3.55680278531535	2.74971281506951	0.000589260468533155
acg	81	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	COVID_19	Community_acquired_pneumonia	-1.53632801977639	-2.16992859556841	-2.27991951010574	1.07732593380181e-09
acg	81	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	COVID_19	Healthy	-0.513508728915011	-0.488112169647383	-1.23335545530751	0.00615958744052736
acg	81	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	Community_acquired_pneumonia	Healthy	1.02281929086138	1.68181642592103	1.04656405479823	0.00804175332627443
aav	138	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	NA	COVID_19	Community_acquired_pneumonia	-1.14119780865568	-0.239580466390848	-0.222160129865591	0.000383990974070762
aav	138	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	NA	COVID_19	Healthy	-1.46675576388713	-0.350534852569676	-0.377035772067481	0.00425656792432985
aav	138	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	NA	Community_acquired_pneumonia	Healthy	-0.325557955231449	-0.110954386178828	-0.15487564220189	0.543732262582812
aav	159	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae	COVID_19	Community_acquired_pneumonia	-1.14119780865568	-0.239580466390848	-0.222160129865591	0.000383990974070762
aav	159	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae	COVID_19	Healthy	-1.46675576388713	-0.350534852569676	-0.377035772067481	0.00425656792432985
aav	159	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae	Community_acquired_pneumonia	Healthy	-0.325557955231449	-0.110954386178828	-0.15487564220189	0.543732262582812
aav	162	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema phagedenis	COVID_19	Community_acquired_pneumonia	-1.14119780865568	-0.239580466390848	-0.222160129865591	0.000383990974070762
aav	162	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema phagedenis	COVID_19	Healthy	-1.46675576388713	-0.350534852569676	-0.377035772067481	0.00425656792432985
aav	162	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema phagedenis	Community_acquired_pneumonia	Healthy	-0.325557955231449	-0.110954386178828	-0.15487564220189	0.543732262582812
aav	171	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	NA	COVID_19	Community_acquired_pneumonia	-1.14119780865568	-0.239580466390848	-0.222160129865591	0.000383990974070762
