domain	phylum	class	order	family	genus	species	treatment_1	treatment_2	log2_median_ratio	median_diff	mean_diff	wilcox_p_value
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter persici	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	NA	alpha proteobacterium HIMB5	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum lipoferum	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum thiophilum	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	Blastomonas fulva	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Bombella	Bombella sp. KACC 21507	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas diminuta	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. FZCC0015	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. FWC26	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	Celeribacter manganoxidans	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter flavus	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Hypericibacter	Hypericibacter terrae	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter xylinus	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia	Labrenzia sp. VG12	Healthy	Community_acquired_pneumonia	2.32900139	0.385907316	0.243422545	0.001095408
