metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
survival	X329	Survived	-0.333396067430887	0.0599972137058282	25	15	7.0682255407763e-05	0.00637553943778022
survival	X59374	Survived	3.46615652179074	0.336006502916564	25	5	4.849827592937e-05	0.00637553943778022
survival	X335929	Survived	-0.751181916569608	0.13019298426628	25	9	6.49292980961126e-05	0.00637553943778022
survival	X663243	Survived	-0.635794841028734	0.124584115171844	25	16	6.31488180515461e-05	0.00637553943778022
survival	X1246301	Survived	-0.675467586010949	0.12573156729327	25	17	3.48499929237168e-05	0.00637553943778022
survival	X2126319	Survived	-0.474204313283928	0.104408354790482	25	20	0.000177942063927288	0.0133753118052011
survival	X34072	Survived	-0.648763010727301	0.144390974672111	25	18	0.000222316834475707	0.014323556049792
survival	X1218933	Survived	-1.00144631109297	0.154233859348455	25	4	0.000336329094449856	0.0189605526996107
survival	X1349819	Survived	-0.604219787210878	0.124090090784107	25	12	0.000385498092298469	0.0193177377362899
survival	X80869	Survived	-0.939412954788109	0.210261669637849	25	9	0.000530925970379986	0.0239447612641374
survival	X1646	Survived	-0.713012609245798	0.151872592869173	25	11	0.000655632071492634	0.0253757338341569
survival	X13689	Survived	1.75108094803449	0.29603859738021	25	5	0.00103933935305898	0.0253757338341569
survival	X57493	Survived	-0.667005410674525	0.171752831893265	25	10	0.0011936209864337	0.0253757338341569
survival	X66269	Survived	-1.07650863959379	0.249763430603805	25	6	0.00084725120664101	0.0253757338341569
survival	X149539	Survived	-0.60187018274954	0.141905945151565	25	10	0.000711048022007527	0.0253757338341569
survival	X282217	Survived	-0.57034503601614	0.138247741151483	25	9	0.00119465491144761	0.0253757338341569
survival	X401472	Survived	-0.45162512348941	0.115357109297441	25	15	0.00123411010441391	0.0253757338341569
survival	X1034889	Survived	-0.718489978463509	0.180616029088468	25	15	0.000805686736476653	0.0253757338341569
survival	X1311759	Survived	-0.549099468469561	0.110341150525111	25	8	0.000763210176821638	0.0253757338341569
survival	X1813871	Survived	-0.430409886471512	0.102910579021445	25	14	0.00107430191228274	0.0253757338341569
survival	X2093856	Survived	0.934107174029937	0.222471838494068	25	6	0.00123460548626432	0.0253757338341569
survival	X2594473	Survived	-0.586840505817505	0.139814017583543	25	8	0.00123784067483692	0.0253757338341569
survival	X83771	Survived	0.893413225706931	0.235464267173343	25	6	0.00176379905389216	0.034411130486602
survival	X748678	Survived	-0.840271547204071	0.183957517124233	25	7	0.00183119097933137	0.034411130486602
survival	X1128398	Survived	1.18475042112641	0.275925405268431	25	4	0.00200903154967059	0.0362429291560575
survival	X2498451	Survived	1.27314086983368	0.188470181610647	25	1	0.00250431204492093	0.0434401820099747
survival	X1613	Survived	0.612796850854593	0.177576720993794	25	8	0.00328742284239966	0.0486913841416838
survival	X28221	Survived	-0.479673811677023	0.134292853367886	25	7	0.00341070574476837	0.0486913841416838
survival	X38294	Survived	-0.678064712417564	0.18005315182181	25	5	0.00312244609950238	0.0486913841416838
survival	X85015	Survived	-0.727005914292167	0.200705637890699	25	9	0.00350009922108308	0.0486913841416838
survival	X115981	Survived	-1.02777611530964	0.25291819881322	25	6	0.00361499617667082	0.0486913841416838
survival	X266940	Survived	-0.910674211721456	0.257727186079263	25	12	0.00367074736323115	0.0486913841416838
survival	X391735	Survived	-0.514539790345422	0.149335064898662	25	13	0.00360469055487934	0.0486913841416838
survival	X2652307	Survived	1.07876527892937	0.225551473071729	25	7	0.00305409014283981	0.0486913841416838
survival	X1196325	Survived	1.31210220749001	0.220761962061291	25	5	0.00401938655728493	0.0517926667810144
survival	X1842533	Survived	-0.535151682646288	0.161760936029808	25	10	0.00477703390978448	0.059845619258689
survival	X171552	Survived	0.71884968138353	0.213516588207907	25	10	0.00560414327484018	0.0683099626203492
survival	X2202826	Survived	0.677646228584768	0.197258896985988	25	7	0.00638135745377926	0.0757366371488012
survival	X908937	Survived	0.660283570533471	0.204975592351825	25	13	0.00668793715634029	0.0773399912181916
survival	X335928	Survived	-0.950406899649534	0.242379269179358	25	5	0.00779161964779218	0.0857078161257139
survival	X354276	Survived	0.781143470877291	0.234966733893133	25	8	0.00768905345719364	0.0857078161257139
survival	X85009	Survived	-0.618269366444296	0.203138036981627	25	14	0.00821006036188123	0.0881604100763913
survival	X1123519	Survived	0.555009901024698	0.170681948929696	25	3	0.00869513831086154	0.0911978460046176
survival	X46170	Survived	-0.601289501213833	0.202138677651735	25	13	0.00944804477983937	0.0968424589933536
survival	X1678	Survived	0.508466806459857	0.172773065481	25	8	0.0100762382269771	0.0987909443557975
survival	X2056494	Survived	0.737497781278705	0.0744446073382505	25	2	0.0100361815910349	0.0987909443557975
survival	X730	Survived	-0.968834779904922	0.18299051764964	25	1	0.0131481573321543	0.126166360783013
