feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X329	survival	Survived	-1.10751776312362	0.199306429824352	25	16	7.06822554077628e-05	0.0063755394377802
X59374	survival	Survived	11.5143227310137	1.11618944210339	25	8	4.849827592937e-05	0.0063755394377802
X335929	survival	Survived	-2.49537231302391	0.432491732191385	25	15	6.49292980961125e-05	0.0063755394377802
X663243	survival	Survived	-2.1120647449978	0.41385947236603	25	21	6.31488180515461e-05	0.0063755394377802
X1246301	survival	Survived	-2.24385475115552	0.417671225805736	25	21	3.48499929237168e-05	0.0063755394377802
X2126319	survival	Survived	-1.57527263101465	0.346837047119471	25	23	0.000177942063927288	0.0133753118052011
X34072	survival	Survived	-2.15514407225873	0.479656435411455	25	22	0.000222316834475706	0.0143235560497919
X1218933	survival	Survived	-3.32673263634105	0.512353790552538	25	9	0.000336329094449856	0.0189605526996107
X1349819	survival	Survived	-2.00717468662268	0.412218358872849	25	14	0.00038549809229847	0.01931773773629
X80869	survival	Survived	-3.12066228721177	0.698474147647895	25	16	0.000530925970379988	0.0239447612641375
X1646	survival	Survived	-2.36857661866256	0.504509833095497	25	13	0.000655632071492634	0.0253757338341569
X13689	survival	Survived	5.81696499769776	0.983418933808366	25	8	0.00103933935305897	0.0253757338341569
X57493	survival	Survived	-2.21574401316159	0.570550557642702	25	19	0.0011936209864337	0.0253757338341569
X66269	survival	Survived	-3.57608429425559	0.829696157198229	25	15	0.000847251206641007	0.0253757338341569
X149539	survival	Survived	-1.99936946955069	0.471401346030529	25	17	0.000711048022007523	0.0253757338341569
X282217	survival	Survived	-1.89464519892156	0.459249055385826	25	15	0.0011946549114476	0.0253757338341569
X401472	survival	Survived	-1.50026618607644	0.383208022320163	25	18	0.00123411010441391	0.0253757338341569
X1034889	survival	Survived	-2.38677204535295	0.599993461415977	25	21	0.000805686736476653	0.0253757338341569
X1311759	survival	Survived	-1.82406895119675	0.366545367951561	25	11	0.000763210176821638	0.0253757338341569
X1813871	survival	Survived	-1.429790694187	0.341861543712463	25	15	0.00107430191228275	0.0253757338341569
X2093856	survival	Survived	3.10303686504589	0.739035450614689	25	14	0.00123460548626432	0.0253757338341569
X2594473	survival	Survived	-1.94944196349308	0.464452113069847	25	14	0.00123784067483692	0.0253757338341569
X83771	survival	Survived	2.9678544948198	0.782195364465193	25	17	0.00176379905389216	0.0344111304866019
X748678	survival	Survived	-2.79132165999168	0.611093644400714	25	10	0.00183119097933137	0.0344111304866019
X1128398	survival	Survived	3.93565570936946	0.916604355854383	25	11	0.00200903154967059	0.0362429291560574
X2498451	survival	Survived	4.22928242424984	0.626084391340931	25	6	0.00250431204492093	0.0434401820099746
X1613	survival	Survived	2.03566707531237	0.589897098467257	25	18	0.00328742284239966	0.0486913841416839
X28221	survival	Survived	-1.59344191139161	0.44611120254537	25	15	0.00341070574476837	0.0486913841416839
X38294	survival	Survived	-2.25248221833163	0.598123623609889	25	13	0.00312244609950237	0.0486913841416839
X85015	survival	Survived	-2.41506137183642	0.666729697311401	25	14	0.00350009922108308	0.0486913841416839
X115981	survival	Survived	-3.41419835270128	0.840176070345944	25	10	0.00361499617667082	0.0486913841416839
X266940	survival	Survived	-3.0251942492069	0.856151180252966	25	15	0.00367074736323116	0.0486913841416839
X391735	survival	Survived	-1.70926418548591	0.496080347638694	25	17	0.00360469055487935	0.0486913841416839
X2652307	survival	Survived	3.58358068786446	0.749265775240205	25	8	0.00305409014283981	0.0486913841416839
