2021-09-28 15:21:13 INFO::Writing function arguments to log file
2021-09-28 15:21:13 DEBUG::Function arguments
2021-09-28 15:21:13 DEBUG::Output folder: ./terms_vs_case_comp_norm_09102021
2021-09-28 15:21:13 DEBUG::Min Abundance: 0.010000
2021-09-28 15:21:13 DEBUG::Min Prevalence: 0.100000
2021-09-28 15:21:13 DEBUG::Normalization: CLR
2021-09-28 15:21:13 DEBUG::Transform: LOG
2021-09-28 15:21:13 DEBUG::Analysis method: LM
2021-09-28 15:21:13 DEBUG::Max significance: 0.050000
2021-09-28 15:21:13 DEBUG::Random effects: sample_name,publication
2021-09-28 15:21:13 DEBUG::Fixed effects: case
2021-09-28 15:21:13 DEBUG::Correction method: BH
2021-09-28 15:21:13 DEBUG::Standardize: TRUE
2021-09-28 15:21:13 DEBUG::Cores: 20
2021-09-28 15:21:13 INFO::Verifying options selected are valid
2021-09-28 15:21:13 INFO::Determining format of input files
2021-09-28 15:21:13 INFO::Input format is data samples as rows and metadata samples as rows
2021-09-28 15:21:13 DEBUG::A total of 86 samples were found in both the data and metadata
2021-09-28 15:21:13 DEBUG::Reordering data/metadata to use same sample ordering
2021-09-28 15:21:13 INFO::Formula for random effects: expr ~ (1 | sample_name) + (1 | publication)
2021-09-28 15:21:13 INFO::Formula for fixed effects: expr ~  case
2021-09-28 15:21:13 INFO::Running selected normalization method: CLR
2021-09-28 15:21:13 INFO::Filter data based on min abundance and min prevalence
2021-09-28 15:21:13 INFO::Total samples in data: 86
2021-09-28 15:21:13 INFO::Min samples required with min abundance for a feature not to be filtered: 8.600000
2021-09-28 15:21:13 INFO::Total filtered features: 0
2021-09-28 15:21:13 INFO::Filtered feature names:
2021-09-28 15:21:13 INFO::Applying z-score to standardize continuous metadata
2021-09-28 15:21:13 INFO::Running selected transform method: LOG
2021-09-28 15:21:13 INFO::Running selected analysis method: LM
2021-09-28 15:21:13 INFO::Creating cluster of 20 R processes
2021-09-28 15:23:26 INFO::Counting total values for each feature
2021-09-28 15:23:26 WARNING::Deleting existing residuals file: ./terms_vs_case_comp_norm_09102021/residuals.rds
2021-09-28 15:23:26 INFO::Writing residuals to file ./terms_vs_case_comp_norm_09102021/residuals.rds
2021-09-28 15:23:26 INFO::Writing all results to file (ordered by increasing q-values): ./terms_vs_case_comp_norm_09102021/all_results.tsv
2021-09-28 15:23:26 INFO::Writing the significant results (those which are less than or equal to the threshold of 0.050000 ) to file (ordered by increasing q-values): ./terms_vs_case_comp_norm_09102021/significant_results.tsv
2021-09-28 15:23:26 INFO::Writing heatmap of significant results to file: ./terms_vs_case_comp_norm_09102021/heatmap.pdf
2021-09-28 15:23:27 INFO::Writing association plots (one for each significant association) to output folder: ./terms_vs_case_comp_norm_09102021
2021-09-28 15:23:27 INFO::Plotting associations from most to least significant, grouped by metadata
2021-09-28 15:23:27 INFO::Plotting data for metadata number 1, case
2021-09-28 15:23:27 INFO::Creating boxplot for categorical data, case vs X34072
2021-09-28 15:23:27 INFO::Creating boxplot for categorical data, case vs X2126319
2021-09-28 15:23:27 INFO::Creating boxplot for categorical data, case vs X34072
2021-09-28 15:23:27 INFO::Creating boxplot for categorical data, case vs X663243
2021-09-28 15:23:28 INFO::Creating boxplot for categorical data, case vs X2126319
2021-09-28 15:23:28 INFO::Creating boxplot for categorical data, case vs X32011
2021-09-28 15:23:28 INFO::Creating boxplot for categorical data, case vs X93973
2021-09-28 15:23:28 INFO::Creating boxplot for categorical data, case vs X93973
2021-09-28 15:23:28 INFO::Creating boxplot for categorical data, case vs X436515
2021-09-28 15:23:29 INFO::Creating boxplot for categorical data, case vs X2202826
2021-09-28 15:23:29 INFO::Creating boxplot for categorical data, case vs X338969
2021-09-28 15:23:29 INFO::Creating boxplot for categorical data, case vs X964
2021-09-28 15:23:29 INFO::Creating boxplot for categorical data, case vs X338969
2021-09-28 15:23:29 INFO::Creating boxplot for categorical data, case vs X436515
2021-09-28 15:23:29 INFO::Creating boxplot for categorical data, case vs X663243
2021-09-28 15:23:30 INFO::Creating boxplot for categorical data, case vs X908290
2021-09-28 15:23:30 INFO::Creating boxplot for categorical data, case vs X2303331
2021-09-28 15:23:30 INFO::Creating boxplot for categorical data, case vs X1360
2021-09-28 15:23:30 INFO::Creating boxplot for categorical data, case vs X2067957
2021-09-28 15:23:30 INFO::Creating boxplot for categorical data, case vs X2116657
2021-09-28 15:23:30 INFO::Creating boxplot for categorical data, case vs X329
2021-09-28 15:23:31 INFO::Creating boxplot for categorical data, case vs X946333
2021-09-28 15:23:31 INFO::Creating boxplot for categorical data, case vs X135727
2021-09-28 15:23:31 INFO::Creating boxplot for categorical data, case vs X224471
2021-09-28 15:23:31 INFO::Creating boxplot for categorical data, case vs X624
2021-09-28 15:23:31 INFO::Creating boxplot for categorical data, case vs X624
2021-09-28 15:23:31 INFO::Creating boxplot for categorical data, case vs X1243
2021-09-28 15:23:32 INFO::Creating boxplot for categorical data, case vs X426355
2021-09-28 15:23:32 INFO::Creating boxplot for categorical data, case vs X1768
2021-09-28 15:23:32 INFO::Creating boxplot for categorical data, case vs X2599600
2021-09-28 15:23:32 INFO::Creating boxplot for categorical data, case vs X1813871
2021-09-28 15:23:32 INFO::Creating boxplot for categorical data, case vs X32011
