feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X33958	case	Community Acquired Pneumonia	-2.65022994664172	0.363633373162124	86	44	8.4460626569794e-09	6.88202773370912e-05
X227605	case	Community Acquired Pneumonia	3.59843658510446	0.437638553959773	86	29	1.59749947393434e-08	6.88202773370912e-05
X335992	case	Community Acquired Pneumonia	6.2855745076419	0.777077932884215	86	26	4.06058625728247e-08	0.000116620037309152
X335992	case	Uninfected	6.07140026960464	0.799047154009762	86	26	1.17765897342517e-07	0.000253667742875781
X34072	case	Uninfected	-2.51272661781525	0.442752375677759	86	60	4.86976630536986e-07	0.000699298441451112
X164393	case	Community Acquired Pneumonia	-2.66653647528827	0.210549604856859	86	13	4.85847729248422e-07	0.000699298441451112
X2201350	case	Community Acquired Pneumonia	4.17040529896228	0.67708321581898	86	36	6.07387507367802e-07	0.000747607251925855
X1360	case	Community Acquired Pneumonia	-2.32638331268324	0.391527930510691	86	40	8.4360652594891e-07	0.000908564228446976
X51664	case	Uninfected	-1.69908660826686	0.250498049318592	86	24	1.15441200854217e-06	0.0011051570961777
X1465	case	Community Acquired Pneumonia	-2.26170646884007	0.364571966676942	86	32	1.57369976957229e-06	0.00131741207497329
X266940	case	Community Acquired Pneumonia	-3.07772496801946	0.558014167850147	86	49	1.72666308745918e-06	0.00131741207497329
X2126319	case	Uninfected	-2.86237658873223	0.532069880343942	86	55	1.83483575901572e-06	0.00131741207497329
X2587161	case	Uninfected	-1.69381456835959	0.316629997029525	86	50	2.5571059123361e-06	0.00169477111851445
X2527994	case	Community Acquired Pneumonia	-4.77895370785659	0.35298242865406	86	13	2.75842283151513e-06	0.00169761222259531
X208596	case	Uninfected	-2.01655191645309	0.307480317575798	86	24	2.96664503515638e-06	0.00170404090819382
X359385	case	Uninfected	-3.04348006155418	0.191350483191436	86	11	3.75207859819134e-06	0.00199751312373544
X1798205	case	Community Acquired Pneumonia	2.53906010288644	0.451016347133108	86	33	3.94123991451979e-06	0.00199751312373544
X28110	case	Community Acquired Pneumonia	2.88859877786572	0.496382633830467	86	28	4.62942500916471e-06	0.00221595143772017
X1243	case	Uninfected	-2.02083466129256	0.40279787753182	86	55	6.79109288101128e-06	0.00271027240994166
X1607	case	Community Acquired Pneumonia	-2.0848314982158	0.383332583320614	86	34	6.10371979307241e-06	0.00271027240994166
X359385	case	Community Acquired Pneumonia	-3.90676326971294	0.270897120533358	86	11	6.92037987682411e-06	0.00271027240994166
X459858	case	Community Acquired Pneumonia	7.29580609502179	0.896648063863666	86	15	6.61686182568494e-06	0.00271027240994166
X227605	case	Uninfected	2.73022435120376	0.485158250138757	86	29	7.43364919309417e-06	0.00276892009933647
X2562284	case	Community Acquired Pneumonia	2.94999765312214	0.575284776999148	86	44	7.71286935748321e-06	0.00276892009933647
X675	case	Community Acquired Pneumonia	3.80184557065738	0.633682788228952	86	22	9.3274533007409e-06	0.00321461350556734
X1360	case	Uninfected	-1.92152436817654	0.37850615614469	86	40	1.12885611799764e-05	0.00374085550487219
X98793	case	Uninfected	-2.01516244596639	0.348735573185487	86	23	1.37327429587414e-05	0.00438227086416726
X1358	case	Community Acquired Pneumonia	-1.90474147403185	0.389038880109685	86	44	1.58277007582866e-05	0.00470246447356542
X1813871	case	Uninfected	-2.31718534621568	0.487019880819456	86	56	1.55782465830337e-05	0.00470246447356542
X459858	case	Uninfected	6.60494055194022	0.905952394696548	86	15	1.69870272896159e-05	0.00479084158269375
X708126	case	Community Acquired Pneumonia	-3.14869987820562	0.571887612109578	86	26	1.72372433917719e-05	0.00479084158269375
X28110	case	Uninfected	2.69372669722767	0.514064789916473	86	28	2.03832241994949e-05	0.00548818311571401
X673	case	Uninfected	-2.70628352912545	0.548837218590176	86	37	2.23379348931968e-05	0.00582821182642261
X1246301	case	Uninfected	-2.33659012410418	0.505312108116277	86	59	2.29989788879258e-05	0.00582821182642261
X1310	case	Community Acquired Pneumonia	-1.61473912443137	0.347376226512592	86	53	2.57066204368894e-05	0.00617513301324382
X414684	case	Community Acquired Pneumonia	4.5624204742911	0.824915950158025	86	37	2.58013914202388e-05	0.00617513301324382
X47715	case	Community Acquired Pneumonia	-2.12525590450982	0.405897830176727	86	28	2.80486027406809e-05	0.00653153408685693
X755732	case	Community Acquired Pneumonia	-2.6924209625054	0.535977775615288	86	29	3.15947488176345e-05	0.00698016680402396
X1844999	case	Uninfected	-2.01744973823645	0.330922032416955	86	18	3.15954625530332e-05	0.00698016680402396
X1720083	case	Community Acquired Pneumonia	-1.86816320373946	0.386223991684658	86	37	3.34861081185341e-05	0.00721290768873225
X164393	case	Uninfected	-1.8687923035768	0.260062962368815	86	13	3.46347478218376e-05	0.00727836554226715
X1613	case	Uninfected	-1.93281775698421	0.411669581039728	86	55	3.79147461584031e-05	0.0074777747817389
X186801	case	Uninfected	-1.56497776098665	0.334558129895924	86	52	3.77332505566347e-05	0.0074777747817389
X227388	case	Community Acquired Pneumonia	-3.07244846568912	0.503795571225551	86	18	3.81873363969953e-05	0.0074777747817389
X82348	case	Uninfected	-1.88066466294274	0.391758538984862	86	32	4.43594596701444e-05	0.00849335787817699
X2211212	case	Community Acquired Pneumonia	-4.20755803657466	0.678791507888924	86	15	4.60546401168814e-05	0.00862623433145761
X60552	case	Community Acquired Pneumonia	3.60568191394503	0.769716638698462	86	38	4.91224309375623e-05	0.00881747635329243
