feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X227605	case	CAP	3.5984365019893	0.43763856749103	86	29	1.59750139209334e-08	0.000102927014692574
X33958	case	CAP	-2.56015204243565	0.406048070056443	86	44	5.94424813137009e-07	0.00127662635701392
X164393	case	CAP	-2.66653647528827	0.210549606164302	86	13	4.85847789801634e-07	0.00127662635701392
X51664	case	Uninfected	-1.69908643253348	0.250498031319525	86	24	1.15441498910368e-06	0.00185947394369876
X1465	case	CAP	-2.26170375228058	0.364571671207965	86	32	1.57371159050831e-06	0.002027884755529
X34072	case	Uninfected	-2.49846015926542	0.478546179065549	86	60	3.66725228423845e-06	0.00393801774455806
X28110	case	CAP	2.88860033078563	0.496382573959011	86	28	4.62937974555941e-06	0.00397599722657362
X2587161	case	Uninfected	-1.69141667657759	0.323884654564443	86	50	4.93682722529706e-06	0.00397599722657362
X227605	case	Uninfected	2.7302242388444	0.485158262864109	86	29	7.43365687109668e-06	0.00532167235783066
X675	case	CAP	3.80184542985857	0.633682795782558	86	22	9.32745952326071e-06	0.00600968217083688
X2562284	case	CAP	3.16757584962467	0.605842608753421	86	44	1.15833797497047e-05	0.00678470142975888
X1360	case	CAP	-2.22519579212972	0.422842477558363	86	40	1.47739509749744e-05	0.00793238051098001
X28110	case	Uninfected	2.69372825014758	0.514064718934799	86	28	2.03830258897251e-05	0.00880030199351719
X2126319	case	Uninfected	-2.82208231319234	0.588364596623117	86	55	2.04880536865991e-05	0.00880030199351719
X2202826	case	CAP	1.94151130192584	0.345918023745079	86	53	1.93313672835064e-05	0.00880030199351719
X44574	case	CAP	1.97885807665746	0.399018012884148	86	37	2.51649539634371e-05	0.0101336123991516
X755732	case	CAP	-2.6924209625054	0.535977775615288	86	29	3.15947488176346e-05	0.01130916481289
X1798205	case	CAP	2.52998171281635	0.486504266676424	86	33	3.04257465684162e-05	0.01130916481289
X164393	case	Uninfected	-1.868792310708	0.260062963196459	86	13	3.46347478454472e-05	0.0116952288933065
X266940	case	CAP	-3.05090120887012	0.646446430424832	86	49	3.63036749753422e-05	0.0116952288933065
X227388	case	CAP	-3.0724484671724	0.503795568978981	86	18	3.81873337602456e-05	0.0117162376865363
X1243	case	Uninfected	-2.04047183240707	0.425173579046237	86	55	4.86261710857852e-05	0.0140778144168227
X2624793	case	CAP	1.81961525782292	0.388809741830587	86	35	5.02544981510046e-05	0.0140778144168227
X1358	case	CAP	-1.92427124169592	0.408017808327415	86	44	6.29939780279808e-05	0.0169112583514283
X98793	case	Uninfected	-1.93111568193949	0.369075523389033	86	23	7.96386088465564e-05	0.0205244622719345
X478070	case	CAP	-1.93672587241704	0.404888086570561	86	26	8.84128961212382e-05	0.0219093957580438
X56	case	Uninfected	-1.68019136965054	0.35739080426153	86	27	9.8702098708965e-05	0.0235532452585875
X1176536	case	CAP	3.05916393950969	0.678132613455656	86	34	0.000113251731541825	0.0260600323687135
X1360	case	Uninfected	-1.8183299986307	0.406690507403219	86	40	0.000122843394343133	0.0265587054535043
X359385	case	CAP	-3.89354623382254	0.332278172966926	86	11	0.00012366307055799	0.0265587054535043
X1465	case	Uninfected	-1.52266416571267	0.326004057441753	86	32	0.000132609954616522	0.027561481857879
X1607	case	CAP	-1.97254637217649	0.446924211051742	86	34	0.00015319292585941	0.0293858447049076
X186801	case	Uninfected	-1.4445338750921	0.348868743348338	86	52	0.000155070420606373	0.0293858447049076
X1852022	case	CAP	1.70821491171141	0.40155949776583	86	40	0.000146662204540328	0.0293858447049076
X359385	case	Uninfected	-3.02982859115903	0.259531409612359	86	11	0.000164615840921225	0.0303034246587272
X1352	case	Uninfected	-1.99889432864065	0.44928420039818	86	30	0.000181544764902812	0.0323777208127434
X2211212	case	CAP	-4.20632665423727	0.754651705103335	86	15	0.00018593445135364	0.0323777208127434
X2603276	case	CAP	2.10717583549949	0.413869807687378	86	55	0.000212667568248564	0.0360583458480395
X51515	case	Uninfected	-2.05346730761779	0.445336426593866	86	22	0.000224286289027193	0.0370532451333898
X673	case	Uninfected	-2.52529059728262	0.625447526966535	86	37	0.000335271492946764	0.0415290856955052
X777	case	CAP	3.28992215437598	0.810730875466668	86	36	0.00030759070615374	0.0415290856955052
X1613	case	Uninfected	-1.82944919854476	0.443792797072346	86	55	0.000285554435343874	0.0415290856955052
X47715	case	CAP	-1.98927445873163	0.449495139827352	86	28	0.000273200702959256	0.0415290856955052
X51515	case	CAP	-2.16433438407392	0.488089956288158	86	22	0.00032836172514992	0.0415290856955052
X68336	case	Uninfected	-1.79176314391792	0.426158030642803	86	26	0.000339552968477126	0.0415290856955052
X106648	case	CAP	-2.38812796689462	0.572887568606316	86	29	0.000348063111525265	0.0415290856955052
X208596	case	Uninfected	-1.9519010794957	0.362574805223837	86	24	0.000330849673668371	0.0415290856955052
X356322	case	Uninfected	-1.61105343822817	0.405541425544374	86	52	0.000275096487337646	0.0415290856955052
X478070	case	Uninfected	-1.89528833818326	0.444164728629287	86	26	0.000293248856751306	0.0415290856955052
X1246301	case	Uninfected	-2.13101422925762	0.54980402234483	86	59	0.000325556252055682	0.0415290856955052
X1454584	case	CAP	2.05750725325206	0.502174233315696	86	33	0.000307071511096987	0.0415290856955052
X1670800	case	CAP	2.45226535277085	0.600570406734175	86	38	0.000329642529623129	0.0415290856955052
X1812935	case	Uninfected	-1.80046142020348	0.450660074435172	86	42	0.000300313103018259	0.0415290856955052
X2014534	case	CAP	3.31328286539501	0.836536274382372	86	40	0.000343845117677093	0.0415290856955052
X700015	case	CAP	-2.7683764065834	0.603468111252736	86	18	0.000355732204176943	0.0416724107547645
X1813871	case	Uninfected	-2.10629594730759	0.547866403549055	86	56	0.000382687914070207	0.0440296112563276
X76761	case	CAP	-2.03001988097174	0.494152601168503	86	30	0.000389953430833851	0.0440784202607456
X1243	case	CAP	-1.67803310796906	0.415172445576424	86	55	0.000420168991940411	0.046674979570208
X708126	case	CAP	-3.06761987655548	0.671385451755488	86	26	0.000443086012784082	0.0468000521371777
X881260	case	Uninfected	-1.67510428006078	0.43685150854673	86	45	0.000440156994305736	0.0468000521371777
X2599600	case	CAP	2.03261041281616	0.515906133476507	86	35	0.000434313889738474	0.0468000521371777
X159087	case	CAP	-2.05186071341493	0.516653639891654	86	40	0.000461042145162213	0.0479112022787119
