treatment_1	treatment_2	genus	species	log2_median_ratio	median_diff	mean_diff	wilcox_p_value
COVID_19	Uninfected	Acetobacter	Acetobacter persici	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Acetobacter	Acetobacter persici	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Acetobacter	Acetobacter persici	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Actinomadura	Actinomadura sp. WMMA1423	1.764939362	1.06E-05	3.86E-05	0.024348267
COVID_19	Uninfected	Actinomadura	Actinomadura sp. WMMB 499	1.764939362	1.06E-05	3.86E-05	0.024348267
COVID_19	Uninfected	Actinomyces	Actinomyces naeslundii	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Actinomyces	Actinomyces pacaensis	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Actinomyces	Actinomyces slackii	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Actinomyces	Actinomyces sp. oral taxon 171	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Actinomyces	Actinomyces sp. oral taxon 414	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Actinomyces	Actinomyces sp. oral taxon 848	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Actinomyces	Actinomyces sp. oral taxon 897	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Uninfected	Actinomyces	Actinomyces viscosus	5.183768992	0.002548082	0.012674954	7.82E-06
COVID_19	Community_acquired_pneumonia	Adlercreutzia	Adlercreutzia equolifaciens	0	0	2.64E-06	0.007320503
COVID_19	Uninfected	Adlercreutzia	Adlercreutzia equolifaciens	3.054926309	3.38E-05	0.000589545	0.019333923
COVID_19	Uninfected	Aeromonas	Aeromonas hydrophila	2.795442226	0.000136481	0.000181253	0.002709644
COVID_19	Uninfected	Aeromonas	Aeromonas veronii	2.795442226	0.000136481	0.000181253	0.002709644
COVID_19	Uninfected	Agrobacterium	Agrobacterium tumefaciens	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Agrobacterium	Agrobacterium tumefaciens	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Ancylobacter	Ancylobacter sp. TS-1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Ancylobacter	Ancylobacter sp. TS-1	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Aromatoleum	Aromatoleum aromaticum	3.507662226	0.000130325	0.000348821	0.000930141
COVID_19	Uninfected	Azoarcus	Azoarcus communis	3.507662226	0.000130325	0.000348821	0.000930141
COVID_19	Uninfected	Azoarcus	Azoarcus sp. KH32C	3.507662226	0.000130325	0.000348821	0.000930141
COVID_19	Uninfected	Azoarcus	Azoarcus sp. SY39	3.507662226	0.000130325	0.000348821	0.000930141
COVID_19	Uninfected	Azospirillum	Azospirillum lipoferum	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Uninfected	Azospirillum	Azospirillum thiophilum	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Azospirillum	Azospirillum lipoferum	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Community_acquired_pneumonia	Azospirillum	Azospirillum thiophilum	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Azospirillum	Azospirillum lipoferum	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Azospirillum	Azospirillum thiophilum	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Bartonella	Bartonella australis	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Bartonella	Bartonella australis	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Bifidobacterium	Bifidobacterium adolescentis	2.19011583	4.04E-05	0.000106882	0.005361627
COVID_19	Uninfected	Bifidobacterium	Bifidobacterium scardovii	2.19011583	4.04E-05	0.000106882	0.005361627
COVID_19	Uninfected	Blastochloris	Blastochloris viridis	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Community_acquired_pneumonia	Blastochloris	Blastochloris viridis	-0.989721676	-0.01207145	-0.117007573	0.007444185
COVID_19	Uninfected	Blastomonas	Blastomonas fulva	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Blastomonas	Blastomonas fulva	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Blastomonas	Blastomonas fulva	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Bombella	Bombella sp. KACC 21507	-4.382880173	-0.45870186	-0.376650628	1.69E-08
COVID_19	Community_acquired_pneumonia	Bombella	Bombella sp. KACC 21507	-2.053878784	-0.072794544	-0.133228083	0.006723639
COVID_19	Uninfected	Bombella	Bombella sp. KACC 21507	-1.214104314	-0.009181107	-0.032340368	0.000134444
COVID_19	Uninfected	Brachyspira	Brachyspira hampsonii	-3.18545036	-2.10E-05	-0.000122991	0.043900334
COVID_19	Uninfected	Brachyspira	Brachyspira intermedia	-3.18545036	-2.10E-05	-0.000122991	0.043900334
COVID_19	Uninfected	Brachyspira	Brachyspira pilosicoli	-3.18545036	-2.10E-05	-0.000122991	0.043900334
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium amphicarpaeae	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium betae	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium canariense	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium cosmicum	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium cosmicum	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium erythrophlei	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium guangxiense	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium guangzhouense	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium icense	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium japonicum	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium lablabi	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium oligotrophicum	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium paxllaeri	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. 6(2017)	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. BTAi1	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. CCBAU 051011	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. LCT2	-5.12940584	-0.416377059	-0.335588726	1.07E-08
COVID_19	Uninfected	Bradyrhizobium	Bradyrhizobium sp. ORS 278	-5.12940584	-0.416377059	-0.335588726	1.07E-08
