feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1360	case	Community Acquired Pneumonia	-4.98242589258408	0.775285922804393	86	23	2.97820949120638e-05	0.00922787121717603
X32011	case	Uninfected	-3.97933656419858	0.830499575868592	86	38	4.048792553133e-05	0.00922787121717603
X34072	case	Uninfected	-2.89614042036906	0.605407626552179	86	55	2.09607407516254e-05	0.00922787121717603
X93973	case	Uninfected	-1.97504063932494	0.393996575939104	86	31	4.60472615627546e-05	0.00922787121717603
X2126319	case	Uninfected	-3.89780728871247	0.771213559079907	86	50	3.17560903878876e-05	0.00922787121717603
X338969	case	Uninfected	-3.01744876148634	0.65499179347915	86	37	0.000100161540039612	0.0143374090170987
X2509614	case	Community Acquired Pneumonia	2.31596634093643	0.524310828019844	86	42	9.50190262090478e-05	0.0143374090170987
X402626	case	Community Acquired Pneumonia	2.5352672149125	0.591303347293295	86	39	0.000129338098280928	0.0143996416086099
X663243	case	Uninfected	-2.73204972999211	0.638928786023849	86	53	0.000116804453670563	0.0143996416086099
X2696063	case	Community Acquired Pneumonia	-3.33307544841343	0.769676984490838	86	38	0.000157766220384862	0.0158081752825632
X436515	case	Uninfected	-3.84651999075225	0.891434159237627	86	41	0.000173777485676992	0.0158295491498497
X135727	case	Uninfected	2.6378874032741	0.590067463477858	86	22	0.000262174738170866	0.0187642205462292
X2303331	case	Uninfected	-2.32582519461397	0.523317565457437	86	36	0.000249692540068355	0.0187642205462292
X2603276	case	Community Acquired Pneumonia	2.64215475426632	0.647383829408729	86	44	0.000249102361170976	0.0187642205462292
X1229205	case	Community Acquired Pneumonia	2.62335013114446	0.609310083210995	86	28	0.000294823494048586	0.0196942094024455
X853	case	Uninfected	-1.96392611162223	0.517253360670762	86	43	0.000487691529397222	0.0287451124974127
X1360	case	Uninfected	-2.86317081985904	0.604164337581761	86	23	0.000482502141214425	0.0287451124974127
X1243	case	Uninfected	-2.42162253968574	0.642330773084645	86	46	0.000733235395690633	0.0391032205997046
X13689	case	Community Acquired Pneumonia	3.74316401549697	0.95858245752095	86	26	0.000741478234924537	0.0391032205997046
X766	case	Community Acquired Pneumonia	2.00820667554258	0.538121728566277	86	33	0.000793272747949656	0.0397429646722778
X624	case	Uninfected	-1.80955461749961	0.491746041717472	86	38	0.000936500190976891	0.0446844376837545
X2638319	case	Community Acquired Pneumonia	1.6884543326002	0.474271908851381	86	41	0.00117420868661061	0.0534798683629013
X43662	case	Uninfected	-2.62177871572567	0.715915987852258	86	27	0.00158068353648659	0.0590192832026472
X54736	case	Uninfected	-2.53213310200326	0.729313468343424	86	35	0.00176704440726489	0.0590192832026472
X59814	case	Community Acquired Pneumonia	2.20819155780151	0.580174051751326	86	24	0.00149695529646926	0.0590192832026472
X748678	case	Uninfected	-2.77099086983019	0.763336591717802	86	28	0.00160167436820276	0.0590192832026472
X1392005	case	Community Acquired Pneumonia	1.39552397253493	0.415578304893463	86	48	0.00160956370425215	0.0590192832026472
X1812935	case	Uninfected	-2.66974054866354	0.744952521473698	86	34	0.00162843205856491	0.0590192832026472
X1813871	case	Uninfected	-2.2555920497889	0.65753888946163	86	44	0.00173860284119493	0.0590192832026472
X2202826	case	Community Acquired Pneumonia	1.67882253333648	0.488000232506733	86	41	0.00172726287937725	0.0590192832026472
X356322	case	Uninfected	-1.99560742353611	0.59123531068216	86	40	0.00190635329795964	0.0611052922808293
X742013	case	Community Acquired Pneumonia	-2.23854133020808	0.638819227172352	86	34	0.00195146642014624	0.0611052922808293
X1613	case	Uninfected	-2.41462996312929	0.710214628570455	86	38	0.00223649152844005	0.06286591733416
X28188	case	Community Acquired Pneumonia	-2.95460569869681	0.857487029841034	86	27	0.00221625234929099	0.06286591733416
X1123519	case	Community Acquired Pneumonia	2.7654224203508	0.768663513396758	86	28	0.00225865571260455	0.06286591733416
X1246301	case	Uninfected	-2.94616378152842	0.893038679169645	86	50	0.00216228097725658	0.06286591733416
X2057025	case	Community Acquired Pneumonia	-2.03090390580561	0.612784414227221	86	38	0.00234758384131589	0.0635751083513113
X2067957	case	Uninfected	-2.18163188969593	0.676728676621816	86	54	0.0024648553836321	0.064994344589457
X881260	case	Uninfected	-2.75906505546003	0.841986219342945	86	36	0.00267046935174257	0.0686105202678477
X1768	case	Uninfected	-2.18276793401322	0.648184675268881	86	27	0.00305965836559257	0.0687064648614076
X13689	case	Uninfected	3.18079726863778	0.95261853260259	86	26	0.00288997854773705	0.0687064648614076
X231049	case	Community Acquired Pneumonia	-2.59347573498441	0.755070410217581	86	26	0.00287651997090357	0.0687064648614076
X946333	case	Uninfected	-1.57937932079854	0.490516800085469	86	35	0.00293962279638626	0.0687064648614076
X983917	case	Community Acquired Pneumonia	-1.37646942390398	0.435296742355471	86	40	0.00312260358332551	0.0687064648614076
X1219032	case	Uninfected	-2.07865301524193	0.602235813029252	86	46	0.00318097937513081	0.0687064648614076
X1849491	case	Community Acquired Pneumonia	-2.15459423071808	0.659915695342141	86	37	0.00322275833182251	0.0687064648614076
X2529408	case	Uninfected	-1.90523841730067	0.535643718322529	86	45	0.00295454240442151	0.0687064648614076
X1661	case	Uninfected	2.36312365035899	0.673059031954266	86	18	0.00340536652992918	0.0710870263122716
X159087	case	Community Acquired Pneumonia	-3.32027141386561	0.999812271103072	86	27	0.00348235769887329	0.0712106615157355
X964	case	Uninfected	-1.92596091444799	0.613149438940544	86	34	0.00379684265335172	0.0760887267731684
X1599	case	Uninfected	-2.14644910675031	0.669699424216221	86	30	0.00426921407074473	0.0793732788570775
X53335	case	Community Acquired Pneumonia	2.14362639758078	0.664935048548695	86	27	0.0041545190262872	0.0793732788570775
X908290	case	Community Acquired Pneumonia	2.1841015241761	0.687662702423466	86	31	0.00427760185457304	0.0793732788570775
X2057025	case	Uninfected	-1.76887321918311	0.570733799816867	86	38	0.00416188742512478	0.0793732788570775
X1784714	case	Uninfected	-1.66147493077539	0.52444401961574	86	25	0.00445451182964953	0.0811531064237969
X2587161	case	Uninfected	-1.80069337769187	0.576166072633875	86	32	0.00457006860138407	0.0817715846176221
X186801	case	Community Acquired Pneumonia	-1.70711363363713	0.551779280282225	86	45	0.00485662366124423	0.0853743317292407
X1844971	case	Community Acquired Pneumonia	1.62277273980183	0.487153384847293	86	38	0.00517920428227103	0.0894752188075099
X1599	case	Community Acquired Pneumonia	-2.39720080383117	0.77791016522977	86	30	0.00558425439219937	0.0932570483497296
X2664291	case	Uninfected	-2.5997674125597	0.860756216079677	86	37	0.0055355561301293	0.0932570483497296
X864051	case	Uninfected	-2.89053426344467	0.974702820969642	86	34	0.00577006823854695	0.0947804651643285
